subNo index mean periodicity testLevel pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
3.0000 1.0000 2.0000 1.0000 11.0000 2 -1.0000 1.0000 1.7000 0.0000 4.0000 -4.0000 -8.0000 12.0000 0.0000 8.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8992 4.6425 
3.0000 2.0000 2.0000 0.0000 -11.0000 8 1.0000 1.0000 1.5990 0.0000 8.0000 -4.0000 -8.0000 12.0000 0.0000 4.0000 0.4036 0.4865 0.6575 0.5123 0.4494 2.5092 1.9194 4.6684 
3.0000 3.0000 -4.0000 0.0000 11.0000 2 -1.0000 1.0000 2.2380 0.0000 -2.0000 -10.0000 -14.0000 6.0000 -6.0000 2.0000 0.4789 0.3592 0.4806 0.5183 0.6533 2.4903 1.9736 4.7162 
3.0000 4.0000 -4.0000 0.0000 9.0000 2 -1.0000 1.0000 1.7060 0.0000 -14.0000 -6.0000 6.0000 -10.0000 2.0000 -2.0000 0.3608 0.6028 0.6300 0.4803 0.4333 2.5072 1.9722 4.7166 
3.0000 5.0000 -2.0000 0.0000 7.0000 8 1.0000 0.0000 1.6540 1.0000 4.0000 -4.0000 -12.0000 0.0000 -8.0000 8.0000 0.3562 0.6033 0.4398 0.3577 0.7366 2.4936 1.9173 4.6695 
3.0000 6.0000 -2.0000 0.0000 7.9900 8 1.0000 0.0000 1.0480 1.0000 8.0000 0.0000 -12.0000 4.0000 -8.0000 -4.0000 0.5043 0.3718 0.6699 0.4624 0.4915 2.4999 1.9973 4.7590 
3.0000 7.0000 -2.0000 1.0000 -8.9800 8 1.0000 1.0000 1.9400 1.0000 4.0000 -4.0000 -12.0000 0.0000 -8.0000 8.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9694 4.7260 
3.0000 8.0000 4.0000 1.0000 -8.9800 8 1.0000 1.0000 0.7110 1.0000 2.0000 10.0000 14.0000 -6.0000 6.0000 -2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8997 4.6425 
3.0000 9.0000 -2.0000 1.0000 -8.9800 8 1.0000 1.0000 4.0010 1.0000 -12.0000 -4.0000 8.0000 -8.0000 4.0000 0.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9758 4.7260 
3.0000 10.0000 -2.0000 0.0000 -8.9800 8 1.0000 1.0000 0.8280 2.0000 -8.0000 0.0000 8.0000 -4.0000 4.0000 -12.0000 0.7303 0.3282 0.7051 0.4371 0.3091 2.5098 1.8386 4.6025 
3.0000 11.0000 0.0000 1.0000 -8.6500 8 1.0000 1.0000 0.5390 2.0000 -6.0000 2.0000 6.0000 -2.0000 10.0000 -10.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9869 4.7259 
3.0000 12.0000 -4.0000 1.0000 -8.6500 8 1.0000 1.0000 0.7630 2.0000 -14.0000 -2.0000 6.0000 -6.0000 2.0000 -10.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.7673 4.5092 
3.0000 13.0000 -2.0000 1.0000 -8.6500 8 1.0000 1.0000 0.6430 2.0000 0.0000 -8.0000 -12.0000 8.0000 -4.0000 4.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.7783 4.5425 
3.0000 14.0000 0.0000 0.0000 -8.6500 8 1.0000 1.0000 0.9280 2.0000 -2.0000 6.0000 10.0000 -10.0000 2.0000 -6.0000 0.7181 0.3991 0.3682 0.3167 0.6919 2.4939 1.9485 4.7032 
3.0000 15.0000 -4.0000 1.0000 8.3200 2 -1.0000 1.0000 1.2300 2.0000 -14.0000 -2.0000 2.0000 -6.0000 6.0000 -10.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.7993 4.5591 
3.0000 16.0000 -2.0000 0.0000 -8.3200 8 1.0000 1.0000 0.8220 2.0000 -8.0000 0.0000 8.0000 -4.0000 4.0000 -12.0000 0.4386 0.6386 0.4600 0.3207 0.6342 2.4922 1.8933 4.6348 
3.0000 17.0000 4.0000 0.0000 7.9900 2 -1.0000 1.0000 0.9880 2.0000 6.0000 -2.0000 -6.0000 14.0000 2.0000 10.0000 0.5704 0.5379 0.3425 0.4898 0.5618 2.5023 1.9927 4.7449 
3.0000 18.0000 4.0000 0.0000 7.6600 2 -1.0000 1.0000 1.1360 2.0000 6.0000 -2.0000 -6.0000 14.0000 2.0000 10.0000 0.6746 0.3517 0.3802 0.5780 0.5076 2.4921 1.8329 4.5679 
3.0000 19.0000 2.0000 0.0000 7.3300 8 1.0000 0.0000 2.3180 3.0000 -8.0000 4.0000 12.0000 0.0000 8.0000 -4.0000 0.4568 0.5753 0.7021 0.3093 0.4576 2.5012 1.8596 4.6104 
3.0000 20.0000 0.0000 0.0000 -8.3200 8 1.0000 1.0000 1.0060 4.0000 6.0000 -6.0000 -10.0000 10.0000 -2.0000 2.0000 0.3402 0.5543 0.4524 0.5988 0.5527 2.4984 1.7923 4.5409 
3.0000 21.0000 0.0000 1.0000 7.9900 2 -1.0000 1.0000 2.0130 4.0000 10.0000 -2.0000 -6.0000 2.0000 -10.0000 6.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.7585 4.5093 
3.0000 22.0000 -2.0000 0.0000 -7.9900 8 1.0000 1.0000 0.9220 4.0000 -12.0000 0.0000 4.0000 -4.0000 8.0000 -8.0000 0.4535 0.7501 0.5682 0.3334 0.3869 2.4921 1.7668 4.5178 
3.0000 23.0000 4.0000 1.0000 -7.6600 8 1.0000 1.0000 0.7250 4.0000 14.0000 2.0000 -2.0000 6.0000 -6.0000 10.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.7746 4.5260 
3.0000 24.0000 0.0000 0.0000 7.6600 2 -1.0000 1.0000 0.9810 4.0000 -10.0000 2.0000 10.0000 -2.0000 6.0000 -6.0000 0.4702 0.6019 0.6370 0.4075 0.3754 2.4921 1.7808 4.5346 
3.0000 25.0000 4.0000 0.0000 -7.3300 8 1.0000 1.0000 0.6970 4.0000 14.0000 6.0000 -6.0000 10.0000 -2.0000 2.0000 0.6133 0.5073 0.3469 0.4749 0.5646 2.5070 1.9981 4.7497 
3.0000 26.0000 2.0000 0.0000 7.0000 2 -1.0000 1.0000 0.9040 4.0000 -4.0000 4.0000 8.0000 0.0000 12.0000 -8.0000 0.4298 0.4656 0.7417 0.5304 0.3241 2.4916 1.9066 4.6507 
3.0000 27.0000 2.0000 1.0000 6.6700 2 -1.0000 1.0000 1.1940 4.0000 -4.0000 8.0000 12.0000 -8.0000 4.0000 0.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9908 4.7426 
3.0000 28.0000 2.0000 0.0000 6.6700 2 -1.0000 1.0000 3.6540 4.0000 4.0000 -4.0000 -8.0000 12.0000 0.0000 8.0000 0.4713 0.5643 0.4676 0.5876 0.4165 2.5073 1.7888 4.5499 
3.0000 29.0000 0.0000 1.0000 -6.3400 8 1.0000 1.0000 0.6810 4.0000 -6.0000 6.0000 10.0000 -10.0000 2.0000 -2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8378 4.5758 
3.0000 30.0000 -2.0000 1.0000 6.3400 8 1.0000 0.0000 0.8760 4.0000 8.0000 -4.0000 -8.0000 0.0000 -12.0000 4.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9419 4.6926 
3.0000 31.0000 4.0000 1.0000 -6.3400 8 1.0000 1.0000 0.4540 4.0000 -6.0000 6.0000 10.0000 2.0000 14.0000 -2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.7829 4.5426 
3.0000 32.0000 4.0000 0.0000 -6.3400 8 1.0000 1.0000 0.4900 4.0000 10.0000 -2.0000 -6.0000 14.0000 2.0000 6.0000 0.3250 0.4578 0.7517 0.5880 0.3854 2.5079 1.7701 4.5336 
3.0000 33.0000 -4.0000 1.0000 6.0100 2 -1.0000 1.0000 0.8920 4.0000 -10.0000 -2.0000 2.0000 -6.0000 6.0000 -14.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8130 4.5591 
3.0000 34.0000 -4.0000 0.0000 6.0100 8 1.0000 0.0000 3.2600 5.0000 -6.0000 2.0000 6.0000 -14.0000 -2.0000 -10.0000 0.6239 0.3911 0.4569 0.5724 0.4599 2.5042 1.7758 4.5300 
3.0000 35.0000 -2.0000 1.0000 7.0000 2 -1.0000 1.0000 0.7830 5.0000 8.0000 -4.0000 -12.0000 0.0000 -8.0000 4.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9987 4.7427 
3.0000 36.0000 4.0000 1.0000 -7.0000 8 1.0000 1.0000 0.8730 5.0000 14.0000 6.0000 -2.0000 10.0000 -6.0000 2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9256 4.6760 
3.0000 37.0000 0.0000 1.0000 7.0000 2 -1.0000 1.0000 1.3080 5.0000 -10.0000 -2.0000 6.0000 -6.0000 10.0000 2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9565 4.7092 
3.0000 38.0000 2.0000 0.0000 -7.0000 8 1.0000 1.0000 1.1010 6.0000 -8.0000 0.0000 12.0000 -4.0000 8.0000 4.0000 0.4276 0.4978 0.4273 0.5109 0.6352 2.4987 1.9808 4.7247 
3.0000 39.0000 2.0000 0.0000 6.6700 2 -1.0000 1.0000 0.6580 6.0000 -4.0000 4.0000 8.0000 0.0000 12.0000 -8.0000 0.4453 0.3453 0.5621 0.4716 0.6799 2.5041 1.7698 4.5133 
3.0000 40.0000 2.0000 1.0000 6.3400 2 -1.0000 1.0000 3.9240 6.0000 12.0000 0.0000 -8.0000 4.0000 -4.0000 8.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8230 4.5758 
3.0000 41.0000 2.0000 1.0000 -6.3400 8 1.0000 1.0000 0.8010 6.0000 12.0000 4.0000 -4.0000 8.0000 -8.0000 0.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.7885 4.5426 
3.0000 42.0000 0.0000 0.0000 6.3400 2 -1.0000 1.0000 2.4490 6.0000 6.0000 -2.0000 -6.0000 2.0000 -10.0000 10.0000 0.5268 0.6465 0.4737 0.3724 0.4819 2.5013 1.9470 4.6940 
3.0000 43.0000 4.0000 1.0000 -6.0100 8 1.0000 1.0000 0.6290 6.0000 -6.0000 6.0000 14.0000 2.0000 10.0000 -2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9570 4.7094 
3.0000 44.0000 -4.0000 0.0000 -6.0100 8 1.0000 1.0000 0.8800 6.0000 6.0000 -2.0000 -10.0000 2.0000 -14.0000 -6.0000 0.4189 0.5775 0.7807 0.4197 0.3066 2.5033 1.8595 4.6125 
3.0000 45.0000 2.0000 0.0000 5.6800 2 -1.0000 1.0000 1.0040 6.0000 8.0000 -4.0000 -8.0000 12.0000 0.0000 4.0000 0.7201 0.4608 0.5546 0.4574 0.3039 2.4968 1.9326 4.6726 
3.0000 46.0000 4.0000 0.0000 -5.3500 8 1.0000 1.0000 0.8060 6.0000 -2.0000 6.0000 14.0000 2.0000 10.0000 -6.0000 0.6096 0.4512 0.6210 0.4743 0.3410 2.4972 1.8829 4.6230 
3.0000 47.0000 0.0000 1.0000 -5.0200 8 1.0000 1.0000 1.0270 6.0000 6.0000 -2.0000 -10.0000 2.0000 -6.0000 10.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8239 4.5758 
3.0000 48.0000 -2.0000 1.0000 5.0200 2 -1.0000 1.0000 1.5150 6.0000 -8.0000 0.0000 4.0000 -4.0000 8.0000 -12.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8940 4.6427 
3.0000 49.0000 -2.0000 0.0000 5.0200 2 -1.0000 1.0000 0.9370 6.0000 -8.0000 0.0000 8.0000 -4.0000 4.0000 -12.0000 0.4227 0.6312 0.4569 0.4247 0.5672 2.5027 1.8726 4.6286 
3.0000 50.0000 -2.0000 0.0000 -4.6900 8 1.0000 1.0000 0.7740 6.0000 8.0000 0.0000 -8.0000 4.0000 -12.0000 -4.0000 0.3727 0.5683 0.4576 0.6817 0.4139 2.4941 1.8521 4.6033 
3.0000 51.0000 -4.0000 1.0000 4.3600 2 -1.0000 1.0000 1.0960 6.0000 -14.0000 -2.0000 2.0000 -6.0000 6.0000 -10.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8645 4.6259 
3.0000 52.0000 -2.0000 1.0000 4.3600 NR 0.0000 0.0000 0.0000 6.0000 -8.0000 4.0000 8.0000 -12.0000 0.0000 -4.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8112 4.5592 
3.0000 53.0000 0.0000 1.0000 4.3600 8 1.0000 0.0000 3.5480 6.0000 10.0000 -2.0000 -6.0000 2.0000 -10.0000 6.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8318 4.5759 
3.0000 54.0000 2.0000 0.0000 -4.3600 8 1.0000 1.0000 0.8120 6.0000 12.0000 0.0000 -8.0000 4.0000 -4.0000 8.0000 0.4987 0.7396 0.3183 0.4517 0.4830 2.4912 1.7750 4.5170 
3.0000 55.0000 4.0000 0.0000 -4.0300 8 1.0000 1.0000 0.8220 6.0000 10.0000 2.0000 -6.0000 6.0000 -2.0000 14.0000 0.5004 0.3797 0.7298 0.3005 0.5848 2.4952 1.9502 4.6877 
3.0000 56.0000 2.0000 0.0000 -3.7000 8 1.0000 1.0000 1.1140 6.0000 12.0000 0.0000 -8.0000 4.0000 -4.0000 8.0000 0.4254 0.3764 0.5721 0.7153 0.4153 2.5043 1.7729 4.5134 
3.0000 57.0000 -4.0000 0.0000 3.3700 2 -1.0000 1.0000 3.1160 6.0000 -10.0000 -2.0000 2.0000 -6.0000 6.0000 -14.0000 0.5717 0.3479 0.3076 0.5966 0.6779 2.5017 1.7922 4.5444 
3.0000 58.0000 0.0000 0.0000 3.0400 8 1.0000 0.0000 2.9890 7.0000 -10.0000 -2.0000 6.0000 -6.0000 10.0000 2.0000 0.4026 0.5167 0.6918 0.4846 0.3943 2.4900 1.9291 4.6660 
3.0000 59.0000 4.0000 1.0000 4.0300 8 1.0000 0.0000 4.0770 7.0000 -2.0000 6.0000 10.0000 2.0000 14.0000 -6.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9165 4.6759 
3.0000 60.0000 2.0000 1.0000 4.0300 8 1.0000 0.0000 1.6220 7.0000 -4.0000 8.0000 12.0000 -8.0000 4.0000 0.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9658 4.7092 
3.0000 61.0000 4.0000 0.0000 4.0300 2 -1.0000 1.0000 1.1580 8.0000 -6.0000 6.0000 10.0000 2.0000 14.0000 -2.0000 0.3568 0.5635 0.4320 0.6044 0.5385 2.4952 1.9235 4.6710 
3.0000 62.0000 4.0000 0.0000 -3.7000 8 1.0000 1.0000 1.6720 8.0000 14.0000 2.0000 -2.0000 6.0000 -6.0000 10.0000 0.5989 0.5112 0.4503 0.3637 0.5821 2.5063 1.9375 4.6822 
3.0000 63.0000 -2.0000 0.0000 3.3700 8 1.0000 0.0000 1.1930 9.0000 8.0000 -4.0000 -8.0000 0.0000 -12.0000 4.0000 0.3670 0.6133 0.3457 0.6194 0.5491 2.4944 1.8457 4.5871 
3.0000 64.0000 -4.0000 1.0000 -4.3600 NR 0.0000 0.0000 0.0000 9.0000 6.0000 -6.0000 -10.0000 -2.0000 -14.0000 2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8439 4.6092 
3.0000 65.0000 4.0000 1.0000 4.3600 2 -1.0000 1.0000 2.3510 9.0000 -2.0000 6.0000 14.0000 2.0000 10.0000 -6.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9773 4.7261 
3.0000 66.0000 2.0000 1.0000 4.3600 8 1.0000 0.0000 1.2970 9.0000 -4.0000 4.0000 8.0000 0.0000 12.0000 -8.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9828 4.7425 
3.0000 67.0000 2.0000 1.0000 4.3600 2 -1.0000 1.0000 1.0320 9.0000 12.0000 4.0000 -8.0000 8.0000 -4.0000 0.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8230 4.5758 
3.0000 68.0000 2.0000 0.0000 4.3600 8 1.0000 0.0000 3.4100 9.0000 4.0000 -4.0000 -8.0000 12.0000 0.0000 8.0000 0.3407 0.7911 0.6073 0.4404 0.3283 2.5078 1.8483 4.6003 
3.0000 69.0000 -2.0000 0.0000 -5.3500 8 1.0000 1.0000 1.7160 10.0000 4.0000 -4.0000 -8.0000 0.0000 -12.0000 8.0000 0.3959 0.3674 0.5297 0.4914 0.7157 2.5000 1.8254 4.5761 
