"subNo"	"index"	"block"	"level"	"mean"	"periodicity"	"nEvents"	"answer"	"isCorrect"	"rt"	"s1"	"s2"	"s3"	"s4"	"s5"	"s6"	"s7"	"s8"	"s9"	"s10"	"s11"	"s12"	"s13"	"s14"	"s15"	"s16"	"s17"	"s18"	"s19"	"s20"	"t1"	"t2"	"t3"	"t4"	"t5"	"t6"	"t7"	"t8"	"t9"	"t10"	"t11"	"t12"	"t13"	"t14"	"t15"	"t16"	"t17"	"t18"	"t19"	"seqDuration"	"startInterval"	"trialDuration"	"pID"	"Trial"	"rtLog"	"right"	"left"
"1"	12	41	1	2	3.25	0	4	1	1	1.212	2.2847	4.7188	-0.136	-9.7656	5.912	2.0177	4.7854	0.5305	0.756	3.1167	1.4762	5.6068	-0.308	0.9722	8.1712	13.5076	1.4354	3.0076	4.1667	12.6446	0.4708	0.3359	0.2236	0.4195	0.2281	0.3717	0.4486	0.2666	0.4083	0.2718	0.2329	0.2013	0.4301	0.221	0.5201	0.3377	0.289	0.3697	0.2715	6.3182	1.6952	2.9126	12	1	0.192271887647123	1	0
"2"	12	31	1	-1	-1.625	1	6	-1	1	1.784	2.3689	-0.5969	-2.5255	-7.6266	1.0814	0.8754	-3.0878	1.335	7.2867	1.3217	-5.6865	2.3968	-5.8259	1.0389	-11.3975	-9.9512	-3.4857	-5.734	5.9132	-1.4046	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.5078	3.3017	12	2	0.578858034157818	0	1
"3"	12	45	1	-1	-1.625	1	10	-1	1	3.051	-2.2356	-7.6845	1.2477	-2.5884	4.9232	-4.307	-2.1671	-5.024	-6.7447	3.8422	-0.8199	-1.5493	1.2751	-0.5691	8.9825	-2.3574	-3.6215	2.1699	0.3652	-15.0773	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.6135	4.6685	12	3	1.11546940573453	0	1
"4"	12	57	1	-4	-6.5	1	9	-1	1	2.736	-5.6315	-7.2259	-1.1818	-8.7196	1.4217	-5.9066	-15.2942	-7.7238	-10.1715	-4.3258	-5.7775	-4.6231	-3.7775	-12.8053	1.342	-16.5447	-10.3569	0.1789	-5.5883	-5.5015	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.6584	4.4037	12	4	1.0064969997603	0	1
"5"	12	54	1	1	1.625	0	9	1	1	2.984	2.6064	-0.921	3.916	-7.4019	5.7851	1.9203	0.8732	-3.809	-0.8786	4.3356	12.4136	8.833	0.9873	-0.3612	1.4683	5.1191	-1.2709	9.653	-3.9095	-5.0355	0.3422	0.3678	0.4083	0.4418	0.271	0.2427	0.4171	0.2088	0.39	0.2198	0.355	0.4914	0.2518	0.2875	0.2193	0.3217	0.5213	0.2344	0.3308	6.3227	1.5808	4.5682	12	5	1.09326468234151	1	0
"6"	12	15	1	-4	-6.5	1	4	-1	1	1.135	-3.5392	-17.3388	-6.7591	-6.1633	-6.1256	-11.6739	-4.2383	-1.8073	-8.3783	-5.2956	0.0489	-7.8482	-9.7192	-1.4191	-12.1692	-0.7475	-15.6576	-6.687	-1.304	-2.1618	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.6515	2.7853	12	6	0.126632650933366	0	1
"7"	12	1	1	-4	-6.5	1	9	-1	1	2.668	-8.9587	-7.3233	-8.2193	-5.3837	-12.42	-8.3034	-8.158	-3.5016	-10.9163	-4.3918	-17.1059	-10.8258	-8.9639	-5.6965	1.1979	-11.2474	-2.5979	3.0635	-2.9755	0.8291	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.6343	4.3017	12	7	0.981329128053377	0	1
"8"	12	9	1	-2	-3.25	0	5	-1	1	1.488	-3.4864	-10.101	2.3275	-1.466	2.4658	-2.5327	-5.312	-1.135	-4.124	-2.8002	5.5782	-5.5096	1.3314	-3.7464	-18.0088	-5.631	-1.6255	-4.0549	-5.3813	-2.7276	0.2118	0.2611	0.3216	0.2419	0.4699	0.2055	0.2456	0.4105	0.2487	0.4197	0.4478	0.2549	0.3717	0.3225	0.3902	0.3531	0.248	0.5089	0.3863	6.3196	1.4911	2.989	12	8	0.3974329364109	0	1
"9"	12	32	1	0	0	1	11	1	0	3.464	1.8298	0.5354	-6.3049	-9.3609	2.796	11.0913	0.439	1.9583	-0.4329	1.2218	-7.0133	-6.3409	-0.2897	-2.2985	0.2349	7.6411	-1.1575	1.7448	5.5432	-2.8867	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.5989	5.0817	12	9	1.24242399070019	1	0
"10"	12	16	1	-2	-3.25	1	7	-1	1	2.085	-3.7905	-10.0923	0.0372	1.3872	-4.044	-4.9913	-3.2695	0.2823	-2.2364	-6.5455	-0.8626	-2.82	-4.8874	-15.6342	-5.67	5.6009	0.4352	5.1607	-8.9717	-2.4302	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.593	3.6854	12	10	0.734768855250765	0	1
