subNo index mean periodicity testLevel pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
7.0000 1.0000 4.0000 1.0000 -11.0000 8 1.0000 1.0000 1.9100 0.0000 10.0000 2.0000 -2.0000 6.0000 -6.0000 14.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9778 4.7427 
7.0000 2.0000 -4.0000 0.0000 11.0000 2 -1.0000 1.0000 1.7300 0.0000 6.0000 -2.0000 -10.0000 2.0000 -14.0000 -6.0000 0.6197 0.4237 0.4878 0.4150 0.5599 2.5061 1.8373 4.5986 
7.0000 3.0000 -2.0000 1.0000 11.0000 2 -1.0000 1.0000 2.3610 0.0000 8.0000 0.0000 -12.0000 4.0000 -8.0000 -4.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8119 4.5592 
7.0000 4.0000 4.0000 1.0000 11.0000 2 -1.0000 1.0000 1.4700 0.0000 -6.0000 2.0000 10.0000 -2.0000 14.0000 6.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8639 4.6093 
7.0000 5.0000 0.0000 1.0000 11.0000 2 -1.0000 1.0000 1.6710 0.0000 10.0000 2.0000 -6.0000 6.0000 -10.0000 -2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8390 4.5925 
7.0000 6.0000 2.0000 0.0000 11.0000 2 -1.0000 1.0000 1.3970 0.0000 -4.0000 4.0000 12.0000 0.0000 8.0000 -8.0000 0.4156 0.5342 0.3637 0.5457 0.6382 2.4973 1.8787 4.6231 
7.0000 7.0000 4.0000 0.0000 9.0000 2 -1.0000 1.0000 1.4240 0.0000 -6.0000 2.0000 10.0000 -2.0000 14.0000 6.0000 0.4887 0.3568 0.7123 0.3954 0.5559 2.5090 1.8545 4.6017 
7.0000 8.0000 -4.0000 1.0000 -7.0000 8 1.0000 1.0000 1.1970 0.0000 6.0000 -2.0000 -10.0000 2.0000 -14.0000 -6.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8068 4.5425 
7.0000 9.0000 0.0000 1.0000 -7.0000 8 1.0000 1.0000 1.0290 0.0000 10.0000 2.0000 -10.0000 6.0000 -6.0000 -2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9080 4.6592 
7.0000 10.0000 -4.0000 1.0000 -7.0000 8 1.0000 1.0000 1.0840 0.0000 -14.0000 -6.0000 6.0000 -10.0000 2.0000 -2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.7557 4.5091 
7.0000 11.0000 -4.0000 0.0000 -7.0000 8 1.0000 1.0000 1.6640 0.0000 2.0000 -6.0000 -10.0000 -2.0000 -14.0000 6.0000 0.6725 0.3310 0.5571 0.3601 0.5719 2.4926 1.7794 4.5183 
