"subNo"	"index"	"block"	"level"	"mean"	"periodicity"	"nEvents"	"answer"	"isCorrect"	"rt"	"s1"	"s2"	"s3"	"s4"	"s5"	"s6"	"s7"	"s8"	"s9"	"s10"	"s11"	"s12"	"s13"	"s14"	"s15"	"s16"	"s17"	"s18"	"s19"	"s20"	"t1"	"t2"	"t3"	"t4"	"t5"	"t6"	"t7"	"t8"	"t9"	"t10"	"t11"	"t12"	"t13"	"t14"	"t15"	"t16"	"t17"	"t18"	"t19"	"seqDuration"	"startInterval"	"trialDuration"	"pID"	"Trial"	"rtLog"	"right"	"left"
"1"	11	18	1	0	0	1	8	1	1	2.525	-1.8565	-1.7532	10.6003	-3.158	-0.0766	-3.3771	-3.7681	1.1135	5.233	-2.9325	3.7255	10.3272	-10.3445	-3.8138	0.2598	2.4744	3.6143	1.7165	-1.2418	-6.0278	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.6144	4.1423	11	1	0.926241062727323	1	0
"2"	11	35	1	4	5.62	1	4	1	1	1.065	5.4601	1.6935	14.1875	5.7631	-4.5131	3.7258	7.6137	4.2974	7.2207	-0.4484	7.4155	10.2109	9.5487	2.1019	-0.8991	4.6946	0.3079	13.6659	9.2304	9.5627	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.7287	2.7995	11	2	0.0629747991613884	1	0
"3"	11	22	1	-4	-5.62	0	4	-1	1	1.243	-6.5926	-2.8774	-3.5894	-5.6369	-8.7089	-10.6121	-6.4359	5.9667	-9.5	-5.7772	-6.7116	-5.888	-2.0322	-4.5768	-10.2829	4.4701	-10.3383	-13.551	1.2793	-10.5694	0.2686	0.3881	0.2534	0.3425	0.4573	0.4839	0.4215	0.2183	0.4238	0.2039	0.233	0.5081	0.2364	0.3978	0.2104	0.2982	0.3363	0.212	0.4323	6.3257	1.4356	2.6937	11	3	0.217527812528574	0	1
"4"	11	53	1	0	0	0	5	1	0	1.336	3.2529	2.4067	-0.3632	7.2456	2.9599	-5.9334	5.0026	-9.6321	-5.3208	4.2379	-7.4056	-4.5255	2.8242	-2.508	0.9515	3.2389	0.2061	4.6511	-7.0511	5.2594	0.2402	0.4782	0.3548	0.2272	0.4728	0.4034	0.2041	0.2965	0.3578	0.2244	0.503	0.2542	0.4461	0.3083	0.4266	0.2196	0.2791	0.3398	0.286	6.3221	1.4385	2.7863	11	4	0.289680075114454	1	0
"5"	11	38	1	-1	-1.405	0	6	-1	1	1.714	-5.9272	4.7854	-10.1998	0.481	-11.1976	2.7924	-10.6771	0.9237	-1.1547	1.716	5.8219	-2.2711	-4.3494	1.6447	-1.5515	1.7302	-5.0979	1.5461	4.3442	-2.1494	0.2309	0.4503	0.3239	0.3763	0.3146	0.2039	0.3814	0.2022	0.3611	0.2793	0.4301	0.5223	0.3947	0.3239	0.2275	0.507	0.2027	0.3173	0.282	6.3314	1.4919	3.2149	11	5	0.538829820175588	0	1
"6"	11	24	1	-1	-1.405	0	6	-1	1	1.815	-0.8479	-1.0693	-2.3651	0.6605	1.8699	-5.3422	-10.7388	-2.7011	4.0103	8.4761	5.9962	-9.5175	-6.5486	-3.1341	2.0929	2.0834	0.8622	-0.2904	-6.1513	-6.4539	0.3249	0.5299	0.2841	0.2435	0.2018	0.4301	0.2087	0.4839	0.2715	0.4052	0.2144	0.267	0.3978	0.3491	0.2236	0.3779	0.4861	0.2627	0.3588	6.3212	1.4706	3.2822	11	6	0.596085467716814	0	1
"7"	11	1	1	-4	-5.62	1	3	-1	1	0.918	-4.8938	-6.2256	1.1847	-7.6147	-6.1633	-3.9859	-11.3381	-7.2127	-7.0871	-1.0421	0.5812	1.1479	-1.8691	-10.3614	-4.8425	-0.1135	-13.8514	-2.7885	-8.1142	-17.1838	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.5603	2.4858	11	7	-0.0855578883616465	0	1
"8"	11	43	1	-4	-5.62	1	3	-1	1	0.802	-9.2627	-2.6469	6.6714	-8.5211	-8.4066	-11.7029	-5.1858	-5.594	-11.3829	-5.576	-2.7011	-4.781	-11.1401	-8.8019	-3.222	-13.7694	-3.2964	3.834	-6.9001	-1.8422	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.4107	2.2198	11	8	-0.220646671115623	0	1
"9"	11	61	1	1	1.405	1	3	-1	0	0.804	-2.7928	-6.3098	13.257	6.0873	2.5875	-4.217	0.1913	-0.2059	8.5853	3.6756	-4.9583	-3.2618	0.3891	1.7891	7.9808	1.4924	2.668	3.4104	-0.9236	-3.2542	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.6074	2.4052	11	9	-0.218156009803171	0	1
"10"	11	64	1	-4	-5.62	0	4	-1	1	0.929	-4.7852	-5.8945	-9.815	-12.7996	-2.7605	-4.6617	-16.5143	-8.3027	-2.6868	-8.9181	-3.3291	2.025	-10.976	0.0094	-2.4074	-0.243	-6.4803	-9.3346	-6.2335	2.9445	0.2694	0.2408	0.4164	0.3525	0.4656	0.3544	0.2156	0.3893	0.4156	0.2288	0.2652	0.4416	0.3126	0.3589	0.2379	0.4569	0.2525	0.4237	0.2297	6.3275	1.698	2.6299	11	10	-0.0736465401682985	0	1
"11"	11	13	1	2	2.81	0	5	1	1	1.216	3.7199	-2.3099	10.8659	-0.2415	-3.5419	1.1759	-0.8676	9.9405	0.1126	6.9111	7.2564	-4.3348	0.5041	7.9461	0.3465	0.0013	4.2438	11.4559	5.3276	-2.5954	0.3484	0.2108	0.2493	0.3015	0.3683	0.49	0.223	0.5308	0.2889	0.4938	0.2451	0.3044	0.3708	0.4814	0.3592	0.2614	0.3486	0.2047	0.2454	6.3259	1.4873	2.7167	11	11	0.195566783543975	1	0
"12"	11	9	1	-2	-2.81	0	7	-1	1	2.159	-5.1389	1.4133	-1.7983	-2.5695	-5.2242	-6.511	1.0511	-2.948	-7.4168	6.5566	2.8824	0.5999	-3.9277	-10.6516	-12.9768	4.379	-4.2469	1.9813	-1.6568	-8.4251	0.2157	0.3247	0.2223	0.3781	0.4259	0.318	0.2854	0.3977	0.2358	0.3576	0.2675	0.3728	0.2145	0.5029	0.4729	0.2908	0.4306	0.253	0.3529	6.3191	1.4937	3.6599	11	12	0.76964515153267	0	1
"13"	11	69	1	2	2.81	0	4	1	1	1.011	6.5594	3.9709	9.485	-0.0305	1.1129	8.0714	3.2211	0.7628	-6.713	11.5165	3.4391	1.2578	7.2277	5.8764	-1.0135	-5.6452	-1.6625	8.6097	-2.0537	0.7234	0.3987	0.2913	0.2056	0.5319	0.3134	0.3772	0.4669	0.2276	0.361	0.2444	0.2067	0.3992	0.2165	0.2617	0.4413	0.2056	0.292	0.4129	0.4773	6.3312	1.4139	2.4452	11	13	0.0109399400383343	1	0
"14"	11	28	1	4	5.62	0	2	1	1	0.666	7.5371	7.7758	5.202	14.5448	4.23	7.1145	9.0286	12.3475	5.4754	-9.4066	5.2781	1.2267	9.0069	8.7755	2.3283	9.6559	6.4728	2.6596	2.481	2.3977	0.2782	0.5167	0.2096	0.3104	0.3458	0.303	0.2145	0.3052	0.4428	0.3203	0.2064	0.3575	0.2954	0.4035	0.4655	0.4915	0.3198	0.2816	0.25	6.3178	1.6598	2.3331	11	14	-0.406465608441748	1	0
"15"	11	49	1	4	5.62	1	3	1	1	0.881	8.8638	11.4992	0.8029	8.2131	9.5961	13.3654	7.6008	-6.2289	-4.6118	6.7582	7.5723	7.5638	6.2554	3.8388	3.5388	2.9828	3.5463	8.6714	3.2087	9.5887	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.5876	2.4814	11	15	-0.126697653045958	1	0
"16"	11	37	1	-2	-2.81	0	3	-1	1	0.874	-3.1203	-5.2965	-8.1498	2.286	2.2404	-0.5101	-5.334	2.5083	3.1672	-1.077	-10.5712	-9.0863	-2.5884	-0.8038	-7.2667	7.7902	1.048	-6.1162	-10.0009	-6.0368	0.2726	0.3573	0.2561	0.204	0.4686	0.2544	0.2142	0.2989	0.2698	0.2998	0.4216	0.3957	0.506	0.2568	0.4696	0.2924	0.5191	0.359	0.2194	6.3353	1.6141	2.4914	11	16	-0.134674903326602	0	1
"17"	11	55	1	2	2.81	0	3	1	1	0.909	0.5439	8.6606	-2.5704	4.8871	2.7112	6.1306	8.0171	-3.0802	2.5025	4.2077	14.1893	6.8053	7.3285	-0.614	-3.3342	6.3176	-4.1163	1.3219	-1.9482	-0.7542	0.2368	0.4664	0.3577	0.5046	0.4141	0.2078	0.2625	0.225	0.3062	0.2533	0.3961	0.2021	0.3467	0.2471	0.4228	0.5005	0.3628	0.4064	0.2057	6.3247	1.7024	2.6266	11	17	-0.0954101848046582	1	0
"18"	11	47	1	1	1.405	1	3	1	1	0.912	5.1851	4.988	7.4928	-0.3423	-0.0331	3.2117	-6.066	-0.5723	12.5105	-3.966	1.5051	-5.4427	1.4608	0.5722	-0.8107	-8.8575	4.5525	5.8062	3.1346	3.4929	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.4193	2.3457	11	18	-0.0921152889078056	1	0
"19"	11	5	1	1	1.405	1	3	1	1	0.823	0.3172	3.1237	0.8328	8.9759	-6.6363	-2.5384	-0.7071	13.5063	5.4441	-4.5672	-6.0428	-3.0934	1.0599	3.2483	-3.2694	3.6099	3.5903	4.9905	2.0631	4.6498	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.6063	2.4408	11	19	-0.194799078305067	1	0
"20"	11	40	1	1	1.405	0	2	1	1	0.756	5.1377	0.4485	1.5656	0.8344	1.6537	-5.8447	-4.7322	6.3859	10.1278	-2.749	10.4946	-2.9215	-0.4055	1.9929	4.5089	-5.1996	0.8929	-6.0722	7.1465	6.1233	0.3417	0.4263	0.2113	0.2921	0.2199	0.4347	0.23	0.3318	0.2137	0.2475	0.2203	0.4003	0.5243	0.4801	0.2705	0.3666	0.4693	0.4127	0.2271	6.3201	1.5185	2.2735	11	20	-0.279713902802604	1	0
"21"	11	25	1	0	0	0	3	1	0	0.864	4.3443	0.0181	7.6522	-0.3341	-6.2694	-7.3261	-7.4745	-3.5181	10.4448	-2.1636	4.762	-3.7552	-2.8763	0.1265	-0.1877	-0.8768	3.7525	5.5031	2.7715	-3.4048	0.2283	0.2638	0.3862	0.2205	0.3148	0.2413	0.3869	0.3198	0.2625	0.3669	0.2083	0.3162	0.4662	0.3601	0.4468	0.4897	0.238	0.3726	0.445	6.3339	1.6292	2.4979	11	21	-0.146182510178081	1	0
"22"	11	8	1	-4	-5.62	0	4	-1	1	1.296	-10.5443	-3.9302	-4.7592	-3.6872	-4.7625	-12.1269	-5.8109	-8.9925	-11.0563	-4.1973	-6.9115	-6.8253	2.6773	3.0507	-4.864	2.5292	1.2978	-6.8667	-10.4476	-15.0694	0.428	0.3204	0.2527	0.3155	0.4897	0.2922	0.3319	0.2489	0.3858	0.3455	0.388	0.2371	0.4056	0.2844	0.2349	0.5094	0.2263	0.3685	0.2566	6.3211	1.6336	2.93	11	22	0.259282597930083	0	1
