"subNo"	"index"	"block"	"level"	"mean"	"periodicity"	"nEvents"	"answer"	"isCorrect"	"rt"	"s1"	"s2"	"s3"	"s4"	"s5"	"s6"	"s7"	"s8"	"s9"	"s10"	"s11"	"s12"	"s13"	"s14"	"s15"	"s16"	"s17"	"s18"	"s19"	"s20"	"t1"	"t2"	"t3"	"t4"	"t5"	"t6"	"t7"	"t8"	"t9"	"t10"	"t11"	"t12"	"t13"	"t14"	"t15"	"t16"	"t17"	"t18"	"t19"	"seqDuration"	"startInterval"	"trialDuration"	"pID"	"Trial"	"rtLog"	"right"	"left"
"1"	2	10	1	-1	-1.77	0	13	-1	1	4.201	1.6926	-6.6152	-4.2643	4.4292	0.0918	-1.9377	-6.9017	4.6487	-6.283	-6.4371	3.458	-6.5503	-0.4475	7.5603	-6.6183	-4.0325	-4.7567	-7.6905	5.3905	0.4441	0.4463	0.3833	0.2894	0.2326	0.323	0.3521	0.2653	0.2353	0.493	0.3317	0.3897	0.3335	0.2036	0.4463	0.2003	0.401	0.2195	0.2957	0.4891	6.3304	1.6122	5.8184	2	1	1.43532259218725	0	1
"2"	2	16	1	-2	-3.54	1	10	1	0	3.307	-3.9307	-4.1272	-1.0088	-6.2208	-0.4783	-14.5235	-3.2912	0.6721	-4.8478	-7.514	-10.0464	5.2142	-7.2498	-5.1464	-2.75	4.0057	3.0305	-7.4579	-8.1284	1.9996	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.5411	4.8577	2	2	1.19604143399966	1	0
"3"	2	17	1	-1	-1.77	1	4	-1	1	1.166	-3.6435	-2.8532	-6.3384	0.1193	6.3685	-7.9978	5.1847	4.4528	-3.5597	3.3112	-5.3556	-0.4709	-2.7449	-2.1959	1.4757	-3.8845	-4.102	6.517	-5.5648	-12.5915	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.5098	2.6829	2	3	0.153579087928301	0	1
"4"	2	13	1	2	3.54	0	5	1	1	1.628	7.0586	1.6573	-7.8969	7.9464	0.9399	6.4447	-5.0065	0.2436	5.576	1.1668	-2.28	0.6559	4.7377	5.8307	14.2713	6.4113	3.2044	4.0005	5.5801	8.9009	0.4299	0.3884	0.2594	0.3645	0.4962	0.2952	0.2234	0.4415	0.2776	0.3868	0.3407	0.3062	0.2035	0.3822	0.2739	0.3162	0.2043	0.4878	0.2397	6.3173	1.4182	3.0622	2	4	0.487352267580348	1	0
"5"	2	52	1	-1	-1.77	0	4	-1	1	1.233	-5.7699	-2.8794	-0.9826	4.6701	-1.7481	-3.7071	1.7774	-5.6848	5.8756	-9.1922	-11.1745	-9.9859	-0.2686	5.2634	3.7808	-0.1388	-0.1858	-6.3414	1.4934	-1.7299	0.2566	0.3659	0.3372	0.3755	0.2274	0.3459	0.3897	0.2023	0.231	0.4337	0.4659	0.3803	0.3109	0.3622	0.3044	0.2587	0.522	0.2096	0.3379	6.317	1.7072	2.9505	2	5	0.209450224182207	0	1
"6"	2	41	1	2	3.54	0	3	-1	0	0.87	0.2379	-5.7897	10.078	3.5414	11.1907	2.8516	-0.0967	11.9561	1.305	0.7702	0.9794	11.2999	5.9648	2.7111	2.7101	2.8179	-0.6697	5.6164	-4.6952	7.1647	0.3069	0.4742	0.3378	0.3051	0.2131	0.2748	0.3908	0.3243	0.2055	0.5181	0.2319	0.3774	0.2291	0.3721	0.4537	0.2377	0.3368	0.3841	0.3445	6.3182	1.5002	2.3873	2	6	-0.139262067333508	0	1
"7"	2	29	1	-4	-7.08	1	7	-1	1	2.251	-10.2492	-0.6391	-4.2623	-10.9168	-6.9796	-6.8601	-9.6074	-10.2127	-16.349	-12.1155	-4.6802	-8.1048	8.0292	-6.3206	-5.2211	-9.2231	-8.0912	-9.3206	-2.2444	-9.0937	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.6444	3.9015	2	7	0.811374561924595	0	1
"8"	2	49	1	4	7.08	1	7	1	1	2.003	8.155	7.0413	5.1746	3.7078	6.9422	6.1697	7.9636	11.6331	-5.7839	10.1966	2.1095	18.9023	12.5737	4.0885	6.8668	10.6926	10.1128	3.0311	1.8076	8.2278	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.5673	3.5872	2	8	0.694646056683681	1	0
"9"	2	15	1	-4	-7.08	1	4	-1	1	1.027	-10.3033	-9.7038	-14.7495	-12.7759	-4.3404	-5.0585	-8.7027	-10.0483	-2.244	-1.1115	2.5405	-7.2702	-7.2314	2.3141	-13.4297	-10.0597	-11.9083	-2.9129	-9.7136	-3.805	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.4637	2.494	2	9	0.0266419309464211	0	1
"10"	2	7	1	4	7.08	1	3	1	1	0.983	9.3071	13.2405	14.8576	6.5888	9.2611	-1.8189	14.2513	4.8787	-0.2052	12.9407	6.022	7.4918	7.0777	11.8828	1.2216	4.2429	7.9255	7.4484	-0.5816	7.3324	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.7035	2.7004	2	10	-0.0171461588349705	1	0
