subNo index mean periodicity testLevel pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
4.0000 1.0000 -2.0000 1.0000 11.0000 8 -1.0000 1.0000 0.8860 0.0000 0.0000 -8.0000 -12.0000 8.0000 -4.0000 4.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9362 4.6924 
4.0000 2.0000 -4.0000 0.0000 11.0000 8 -1.0000 1.0000 0.6870 0.0000 6.0000 -2.0000 -10.0000 2.0000 -14.0000 -6.0000 0.6810 0.5854 0.3810 0.3151 0.5456 2.5081 1.7793 4.5340 
4.0000 3.0000 0.0000 1.0000 -11.0000 2 1.0000 1.0000 0.7150 0.0000 -6.0000 2.0000 10.0000 -2.0000 6.0000 -10.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9391 4.6927 
4.0000 4.0000 4.0000 1.0000 -11.0000 2 1.0000 1.0000 0.6600 0.0000 14.0000 6.0000 -2.0000 10.0000 -6.0000 2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9919 4.7427 
4.0000 5.0000 0.0000 1.0000 11.0000 8 -1.0000 1.0000 0.7340 0.0000 -10.0000 -2.0000 10.0000 -6.0000 6.0000 2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8287 4.5757 
4.0000 6.0000 0.0000 1.0000 11.0000 8 -1.0000 1.0000 0.4870 0.0000 -10.0000 2.0000 10.0000 -2.0000 6.0000 -6.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.7909 4.5257 
4.0000 7.0000 4.0000 0.0000 11.0000 8 -1.0000 1.0000 1.4160 0.0000 14.0000 6.0000 -6.0000 10.0000 -2.0000 2.0000 0.3367 0.6748 0.4955 0.6116 0.3731 2.4916 1.8430 4.5843 
4.0000 8.0000 0.0000 0.0000 -9.0000 2 1.0000 1.0000 1.0150 0.0000 -10.0000 2.0000 6.0000 -2.0000 10.0000 -6.0000 0.6266 0.3888 0.7924 0.3014 0.3979 2.5070 1.8671 4.6329 
4.0000 9.0000 4.0000 1.0000 -7.0000 2 1.0000 1.0000 1.0950 0.0000 -2.0000 6.0000 14.0000 2.0000 10.0000 -6.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9197 4.6761 
4.0000 10.0000 4.0000 0.0000 -7.0000 2 1.0000 1.0000 1.1450 0.0000 -6.0000 2.0000 14.0000 -2.0000 10.0000 6.0000 0.3215 0.4491 0.5367 0.4719 0.7144 2.4936 1.7857 4.5360 
4.0000 11.0000 4.0000 0.0000 5.0000 8 -1.0000 1.0000 0.8990 0.0000 2.0000 10.0000 14.0000 -6.0000 6.0000 -2.0000 0.3022 0.4075 0.4368 0.6518 0.7030 2.5014 1.9149 4.6606 
