"subNo"	"index"	"block"	"level"	"mean"	"periodicity"	"nEvents"	"answer"	"isCorrect"	"rt"	"s1"	"s2"	"s3"	"s4"	"s5"	"s6"	"s7"	"s8"	"s9"	"s10"	"s11"	"s12"	"s13"	"s14"	"s15"	"s16"	"s17"	"s18"	"s19"	"s20"	"t1"	"t2"	"t3"	"t4"	"t5"	"t6"	"t7"	"t8"	"t9"	"t10"	"t11"	"t12"	"t13"	"t14"	"t15"	"t16"	"t17"	"t18"	"t19"	"seqDuration"	"startInterval"	"trialDuration"	"pID"	"Trial"	"rtLog"	"right"	"left"
"1"	8	18	1	0	0	1	12	1	1	3.797	-0.1881	1.3049	-8.6235	-1.5441	7.0093	-0.5449	4.8635	-3.6603	-6.2526	3.9655	-5.4132	-0.7627	-2.7207	0.1439	1.7348	-7.5447	12.1877	-1.6282	3.5722	3.4835	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.6711	5.4647	8	1	1.33421128124967	1	0
"2"	8	53	1	0	0	0	13	-1	1	4.342	2.8128	-10.1743	-2.1106	6.662	-6.043	-4.4266	5.7444	4.9718	7.788	-2.4442	-2.1938	-0.1956	6.4303	2.7877	-2.8169	2.3058	-3.0636	-7.8838	1.608	-0.1238	0.3455	0.2321	0.3806	0.3549	0.4266	0.2799	0.2442	0.2982	0.374	0.2045	0.4509	0.4191	0.3322	0.2205	0.3679	0.4705	0.2021	0.4679	0.2489	6.3207	1.5403	5.8764	8	2	1.4683350714561	0	1
"3"	8	45	1	-1	-1.1	1	5	-1	1	1.479	-0.0928	-4.7822	1.8703	1.3025	4.2066	-1.0436	2.506	7.861	-1.3924	-11.8505	-10.0017	-9.5996	-1.5454	3.6502	-2.1437	-2.444	3.5937	2.0909	-3.9172	-0.9485	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.4419	2.9299	8	3	0.391366183728663	0	1
"4"	8	51	1	-2	-2.2	0	10	1	0	2.879	-2.1373	-5.9876	-2.4187	-1.3535	7.9196	2.7802	-6.687	2.9833	-7.9698	2.5954	-5.8343	-4.6822	-5.4288	-9.4477	-6.9487	8.1472	-5.0862	-1.217	-0.4248	-2.1633	0.2417	0.5118	0.2196	0.3186	0.3466	0.2777	0.2497	0.3508	0.296	0.3277	0.4591	0.3528	0.2339	0.4629	0.4155	0.2726	0.3202	0.4365	0.2367	6.3304	1.6288	4.5301	8	4	1.05744301163004	1	0
"5"	8	46	1	0	0	1	15	1	1	4.989	2.0991	4.3464	-10.746	2.0325	0.3419	5.7065	-7.5036	6.2089	-2.5465	1.6249	7.9509	-3.8675	1.0197	-1.4577	9.2438	-2.39	-2.4524	-1.5193	-5.6959	-0.7376	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.5213	6.5229	8	5	1.6072354888789	1	0
"6"	8	39	1	0	0	0	8	-1	0	2.181	0.0339	4.9011	-4.99	-2.0977	2.8195	-9.0859	-6.9591	-4.3731	3.7549	2.5399	5.9214	3.5686	-4.7263	12.5941	1.2108	-0.0461	-2.2113	-2.1921	-2.4005	2.3049	0.2254	0.4202	0.2211	0.29	0.3411	0.2675	0.4117	0.2371	0.4569	0.2895	0.2018	0.2929	0.5179	0.2417	0.2786	0.3114	0.3603	0.5191	0.4457	6.3299	1.5352	3.7319	8	6	0.779783487219492	0	1
"7"	8	31	1	-1	-1.1	1	14	-1	1	4.423	-2.9425	-8.8943	2.8356	-3.611	2.0197	-9.747	-2.6704	-1.5306	-3.3226	8.1293	4.1101	1.1774	1.6867	-3.7829	1.5913	-1.2932	-2.9068	5.9799	2.0246	-11.7197	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.7112	6.1406	8	7	1.48681819888619	0	1
"8"	8	44	1	-2	-2.2	1	9	1	0	2.693	1.1706	-10.8816	-4.5476	6.2995	-6.3812	-1.4342	2.9614	-0.6571	2.3845	-7.7597	4.6187	-0.9076	3.1742	-6.4704	-10.2709	-2.7669	-2.5508	2.5582	-8.0997	-4.5781	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.7189	4.427	8	8	0.990655813829462	1	0
"9"	8	48	1	2	2.2	1	15	-1	0	4.847	7.0325	-6.3807	-4.3516	0.5813	9.9735	7.7393	-0.9656	2.9117	-0.3647	-0.8217	7.3175	-5.4498	-0.0913	0.9249	5.6301	11.7034	2.976	3.0894	0.8189	2.6728	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.5557	6.4148	8	9	1.57835995686324	0	1
"10"	8	54	1	1	1.1	0	11	1	1	3.565	0.4117	3.9779	4.0858	-8.464	3.9653	-5.7577	1.7427	1.4818	0.6953	-2.7993	9.149	7.6844	7.4063	-0.3401	-0.8524	2.1987	1.4767	-10.569	5.5197	1.2343	0.4075	0.5101	0.2137	0.3244	0.405	0.4417	0.2133	0.2904	0.3274	0.2608	0.4666	0.4134	0.2094	0.349	0.2075	0.2726	0.4492	0.2248	0.3397	6.3265	1.6445	5.2156	8	10	1.27116405386626	1	0
