subNo index mean periodicity testLevel pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
16.0000 1.0000 -2.0000 0.0000 11.0000 8 -1.0000 1.0000 2.0860 0.0000 4.0000 -4.0000 -8.0000 0.0000 -12.0000 8.0000 0.4913 0.4316 0.3964 0.5191 0.6657 2.5041 1.9448 4.6967 
16.0000 2.0000 4.0000 0.0000 11.0000 8 -1.0000 1.0000 1.6310 0.0000 -2.0000 6.0000 10.0000 2.0000 14.0000 -6.0000 0.5120 0.5897 0.5193 0.4698 0.4188 2.5096 1.7962 4.5521 
16.0000 3.0000 -2.0000 1.0000 9.0000 2 1.0000 0.0000 2.4680 0.0000 0.0000 -8.0000 -12.0000 8.0000 -4.0000 4.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.7682 4.5260 
16.0000 4.0000 2.0000 1.0000 -9.0000 2 1.0000 1.0000 1.3980 0.0000 -8.0000 4.0000 8.0000 0.0000 12.0000 -4.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.7741 4.5259 
16.0000 5.0000 -4.0000 1.0000 -9.0000 2 1.0000 1.0000 1.1170 0.0000 6.0000 -2.0000 -10.0000 2.0000 -14.0000 -6.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9619 4.7094 
16.0000 6.0000 4.0000 0.0000 9.0000 8 -1.0000 1.0000 2.9410 0.0000 14.0000 6.0000 -6.0000 10.0000 -2.0000 2.0000 0.6643 0.4497 0.3476 0.6658 0.3802 2.5076 1.7657 4.5335 
16.0000 7.0000 2.0000 1.0000 -7.0000 2 1.0000 1.0000 2.6210 0.0000 4.0000 -4.0000 -8.0000 12.0000 0.0000 8.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.7525 4.5091 
16.0000 8.0000 2.0000 1.0000 7.0000 8 -1.0000 1.0000 1.4510 0.0000 -4.0000 4.0000 8.0000 0.0000 12.0000 -8.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9903 4.7427 
16.0000 9.0000 4.0000 1.0000 -7.0000 2 1.0000 1.0000 2.6140 0.0000 -2.0000 10.0000 14.0000 -6.0000 6.0000 2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9731 4.7258 
16.0000 10.0000 4.0000 1.0000 -7.0000 2 1.0000 1.0000 1.5140 0.0000 14.0000 2.0000 -6.0000 6.0000 -2.0000 10.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8518 4.5925 
16.0000 11.0000 -2.0000 0.0000 7.0000 8 -1.0000 1.0000 0.9670 0.0000 -8.0000 0.0000 4.0000 -4.0000 8.0000 -12.0000 0.3232 0.6369 0.3304 0.6591 0.5435 2.4932 1.8489 4.6025 
16.0000 12.0000 2.0000 1.0000 5.0000 8 -1.0000 1.0000 0.8710 0.0000 -4.0000 4.0000 12.0000 0.0000 8.0000 -8.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.7700 4.5258 
16.0000 13.0000 4.0000 1.0000 5.0000 8 -1.0000 1.0000 1.4410 0.0000 -2.0000 6.0000 14.0000 2.0000 10.0000 -6.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.7812 4.5425 
16.0000 14.0000 -4.0000 0.0000 -5.0000 2 1.0000 1.0000 1.6380 0.0000 -6.0000 2.0000 6.0000 -14.0000 -2.0000 -10.0000 0.3694 0.3349 0.7089 0.4421 0.6534 2.5087 1.9976 4.7513 
16.0000 15.0000 2.0000 1.0000 -3.0000 2 1.0000 1.0000 1.1370 0.0000 12.0000 0.0000 -4.0000 4.0000 -8.0000 8.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9663 4.7092 
16.0000 16.0000 4.0000 0.0000 -3.0000 2 1.0000 1.0000 0.8720 0.0000 -6.0000 2.0000 10.0000 -2.0000 14.0000 6.0000 0.4789 0.6087 0.3485 0.6184 0.4467 2.5011 1.8660 4.6103 
16.0000 17.0000 2.0000 0.0000 1.0000 2 1.0000 0.0000 1.6830 1.0000 8.0000 -4.0000 -8.0000 12.0000 0.0000 4.0000 0.5822 0.4892 0.3157 0.6685 0.4347 2.4903 1.8163 4.5495 
16.0000 18.0000 -2.0000 0.0000 1.9900 8 -1.0000 1.0000 2.0100 2.0000 8.0000 -4.0000 -12.0000 0.0000 -8.0000 4.0000 0.5724 0.6466 0.4782 0.4210 0.3857 2.5039 1.8396 4.5966 
