"subNo"	"index"	"block"	"level"	"mean"	"periodicity"	"nEvents"	"answer"	"isCorrect"	"rt"	"s1"	"s2"	"s3"	"s4"	"s5"	"s6"	"s7"	"s8"	"s9"	"s10"	"s11"	"s12"	"s13"	"s14"	"s15"	"s16"	"s17"	"s18"	"s19"	"s20"	"t1"	"t2"	"t3"	"t4"	"t5"	"t6"	"t7"	"t8"	"t9"	"t10"	"t11"	"t12"	"t13"	"t14"	"t15"	"t16"	"t17"	"t18"	"t19"	"seqDuration"	"startInterval"	"trialDuration"	"pID"	"Trial"	"rtLog"	"right"	"left"
"1"	20	45	1	-1	-2.3	1	4	-1	1	1.308	-2.1598	1.5694	-6.5953	-9.1952	7.5491	1.8457	1.0499	0.6572	-5.7791	-9.243	-2.3125	-10.3277	-4.1909	-0.0238	-4.585	-5.8523	-1.144	-0.8972	-3.2139	7.4869	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.6054	2.925	20	1	0.268499253035007	0	1
"2"	20	57	1	-4	-9.2	1	3	-1	1	0.836	-4.4204	-6.2278	-5.1385	-12.0815	-11.5869	-12.409	-8.4785	-5.2395	-14.5433	-18.0158	-1.3114	-10.6118	-6.7803	-19.8876	-10.7098	-14.3067	-3.8779	-8.0794	-9.0594	-3.0972	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.4862	2.3364	20	2	-0.179126665897435	0	1
"3"	20	49	1	4	9.2	1	3	1	1	0.956	4.6776	17.1525	13.6732	2.5828	7.1402	9.8974	15.512	17.1363	3.4422	13.0761	4.1278	2.9054	11.9669	12.6096	7.9985	8.9457	4.2591	12.9454	3.4289	11.7226	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.6243	2.5903	20	3	-0.0449973659307358	1	0
"4"	20	19	1	1	2.3	1	4	1	1	1.229	1.0369	8.3916	3.2309	3.8428	-5.2833	-4.5692	4.1666	1.2533	7.8958	2.584	4.115	4.5096	-0.8866	-5.1042	6.5867	-5.1369	-4.0531	8.9706	7.2526	8.1491	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.6621	2.8969	20	4	0.206200830583898	1	0
"5"	20	52	1	-1	-2.3	0	6	-1	1	1.82	-3.9482	2.7304	-13.933	-5.7772	-4.2055	-5.5804	2.6455	-0.2888	1.8054	-8.1146	-11.4425	-1.5804	3.6546	0.9521	3.3087	2.4762	-4.4664	-1.8569	-2.2818	-1.4818	0.2442	0.3526	0.272	0.3738	0.2044	0.4517	0.3833	0.3338	0.4588	0.21	0.384	0.2856	0.3686	0.3307	0.2241	0.467	0.3628	0.2286	0.395	6.3311	1.6273	3.4541	20	5	0.598836501088704	0	1
"6"	20	36	1	-4	-9.2	0	4	-1	1	1.118	-5.1436	-19.5845	-8.7727	-7.6141	-11.8569	-10.9404	-7.1031	-12.9225	-3.3868	-8.9688	-9.4655	-17.1464	-6.7004	-7.4903	-6.5854	-4.2425	-10.3844	-19.7892	-5.1148	-1.3909	0.4625	0.2861	0.3339	0.2144	0.3404	0.3063	0.3929	0.4708	0.2513	0.4408	0.5318	0.3309	0.2018	0.2797	0.2342	0.3832	0.2038	0.3083	0.3587	6.3319	1.438	2.569	20	6	0.111541374732908	0	1
"7"	20	56	1	4	9.2	0	5	1	1	1.581	4.2609	4.7546	11.6493	8.843	6.6512	5.5506	12.9565	7.1031	12.1933	13.92	16.9802	17.3544	1.2191	11.2728	9.0763	11.8518	15.5198	11.0841	3.0067	0.033	0.3787	0.4346	0.4079	0.2604	0.3597	0.2834	0.5022	0.2056	0.2893	0.2475	0.5262	0.2066	0.4636	0.2575	0.363	0.4	0.2475	0.2187	0.2656	6.318	1.5966	3.1814	20	7	0.458057558227335	1	0
"8"	20	66	1	-1	-2.3	0	5	-1	1	1.503	-7.0433	-2.599	-6.3501	-6.9219	-1.2618	-6.0323	-4.7482	-2.2612	-1.1677	-7.3915	-0.951	5.1349	-8.8138	9.1611	4.3272	3.5068	-4.2935	1.2979	-7.7499	-2.4137	0.3699	0.2136	0.262	0.3695	0.4936	0.2149	0.49	0.2473	0.4181	0.268	0.4453	0.3556	0.2965	0.3597	0.2601	0.3316	0.2096	0.4569	0.2642	6.3265	1.4212	2.9367	20	8	0.407463110770837	0	1
"9"	20	29	1	-4	-9.2	1	4	-1	1	1.151	-8.3402	-10.5273	-6.7896	-16.095	-17.7698	-12.1462	-12.7686	0.1862	-11.6258	-13.1853	-0.7203	-3.7139	-8.1592	-11.6002	-12.0164	-2.7389	-8.08	-3.0466	-10.0938	-14.7518	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.6806	2.8349	20	9	0.140631129739746	0	1
"10"	20	9	1	-2	-4.6	0	4	-1	1	1.314	-5.3194	-6.9591	-8.9112	3.2148	1.1107	-10.7245	-3.1378	-1.0566	-13.8216	-13.4099	1.7517	-5.1719	2.704	1.3199	-7.7735	-4.798	-5.8354	-4.6489	-6.581	-4.4774	0.3225	0.2161	0.4927	0.4597	0.2923	0.258	0.231	0.3196	0.3992	0.2003	0.3082	0.2487	0.5231	0.2003	0.4318	0.3989	0.2478	0.433	0.3456	6.3287	1.6142	2.9316	20	10	0.273075920062419	0	1
"11"	20	70	1	4	9.2	0	3	1	1	1.223	9.92	1.2911	13.4044	11.8822	1.338	14.5509	5.9148	3.9815	7.9454	21.4044	12.1727	11.5676	10.5648	7.7439	12.4497	6.0584	3.181	11.1076	11.2845	5.029	0.3597	0.4674	0.4195	0.2255	0.4564	0.3035	0.2409	0.268	0.3445	0.3058	0.2177	0.416	0.2982	0.2144	0.2598	0.4881	0.452	0.3933	0.204	6.3346	1.7238	2.9571	20	11	0.201306856705035	1	0
"12"	20	13	1	2	4.6	0	4	1	1	1.421	6.588	11.4454	3.0628	4.6348	8.0032	1.3922	3.2507	7.2411	3.1346	5.3143	6.0454	-9.8938	7.5833	-0.493	9.8179	2.8886	7.564	4.837	11.3757	-2.5326	0.3552	0.2388	0.4885	0.405	0.2069	0.2527	0.4491	0.4233	0.2054	0.2906	0.3268	0.2683	0.2313	0.324	0.2849	0.344	0.4344	0.3427	0.461	6.3331	1.5472	2.9712	20	12	0.351360849114964	1	0
"13"	20	61	1	1	2.3	1	12	-1	0	3.771	1.6286	-8.2922	8.1668	-5.8441	6.5251	1.2394	1.9164	-1.7285	-0.2085	-1.8626	1.6406	6.1969	5.5467	6.1611	7.7288	7.669	-2.4942	5.61	-3.2815	7.9115	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.5193	5.2884	20	13	1.32734021827622	0	1
"14"	20	30	1	-2	-4.6	1	3	-1	1	0.91	-3.3776	1.1206	-8.7235	0.8685	-4.3545	-8.4019	-1.2155	-13.1075	-9.2758	-8.2805	-8.2442	-4.8391	-2.2241	-1.9023	2.0278	-0.8088	-11.0843	-12.2484	0.3104	2.1905	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.6686	2.5943	20	14	-0.0943106794712413	0	1
"15"	20	18	1	0	0	1	5	-1	1	1.582	-4.7942	2.3518	-0.5592	0.2893	-0.3239	-1.1977	-8.8486	4.6014	4.6541	0.4661	0.2045	-0.9409	-6.13	3.8535	3.261	5.4677	-11.4348	1.9645	9.8354	-2.0891	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.4099	2.999	20	15	0.458689869345462	0	1
