"subNo"	"index"	"block"	"level"	"mean"	"periodicity"	"nEvents"	"answer"	"isCorrect"	"rt"	"s1"	"s2"	"s3"	"s4"	"s5"	"s6"	"s7"	"s8"	"s9"	"s10"	"s11"	"s12"	"s13"	"s14"	"s15"	"s16"	"s17"	"s18"	"s19"	"s20"	"t1"	"t2"	"t3"	"t4"	"t5"	"t6"	"t7"	"t8"	"t9"	"t10"	"t11"	"t12"	"t13"	"t14"	"t15"	"t16"	"t17"	"t18"	"t19"	"seqDuration"	"startInterval"	"trialDuration"	"pID"	"Trial"	"rtLog"	"right"	"left"
"12"	3	47	1	1	1	1	13	-1	0	3.997	-2.851	-2.1618	0.1331	2.8587	1.8082	-2.3426	4.2129	-1.5467	-4.8362	2.7283	0.7467	2.0632	-5.0681	6.6291	-2.9485	3.446	15.8483	-3.5057	-2.1207	5.9233	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.4738	5.4648	3	12	1.38554407972919	0	1
"13"	3	18	1	0	0	1	8	-1	0	2.438	3.9477	-2.1147	-3.3814	-8.3092	1.3405	-3.698	-2.345	7.2497	-0.5011	-7.0007	-4.7996	1.3419	-7.7034	5.2002	6.6745	4.9167	6.598	-0.6472	5.1411	-0.8415	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.7301	4.1888	3	13	0.89117803105908	0	1
"14"	3	20	1	2	2	1	6	1	1	1.994	3.2375	6.941	11.7733	3.0119	5.067	-4.248	6.1256	4.1114	-0.3429	4.1334	-7.5633	4.8189	-1.7093	3.332	-6.6156	1.8556	-5.9141	-0.2905	4.5024	7.0243	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.7315	3.7445	3	14	0.690142671539647	1	0
"15"	3	42	1	4	4	0	11	1	1	3.63	5.1177	12.9963	2.7088	-1.0082	5.8187	8.3157	-3.7194	5.5787	0.6893	4.3825	4.7468	-3.767	6.0776	7.2333	10.7081	-1.3607	10.8836	7.9529	-0.3742	-1.2682	0.2578	0.5296	0.2791	0.3464	0.2569	0.459	0.3919	0.2629	0.2261	0.4597	0.261	0.3507	0.2959	0.442	0.2392	0.4044	0.2206	0.3698	0.2742	6.3271	1.7279	5.3646	3	15	1.28923264827676	1	0
"16"	3	53	1	0	0	0	18	-1	1	5.727	-0.7005	0.448	5.5465	6.1374	-0.0488	3.0699	-1.9173	-2.4974	1.5767	5.3327	4.911	-3.6096	-11.2881	3.0893	2.7288	-5.3371	5.655	-7.4393	1.0804	-7.9469	0.2161	0.4646	0.2324	0.4829	0.2889	0.2602	0.2107	0.3646	0.2911	0.2346	0.2096	0.3877	0.5274	0.2998	0.3893	0.4405	0.2831	0.5254	0.2222	6.3312	1.4001	7.1445	3	16	1.74519183341172	0	1
"17"	3	68	1	1	1	0	10	1	1	3.395	3.8069	6.766	-1.0816	-11.3249	-5.5636	3.2423	3.8086	-2.169	9.3298	2.7544	4.7935	-1.9801	1.2434	-0.4644	-2.5608	0.6473	3.5637	9.1064	-3.5945	-1.6376	0.3584	0.463	0.2063	0.3061	0.4204	0.2097	0.4032	0.2986	0.3743	0.4383	0.2225	0.2948	0.4628	0.3576	0.2069	0.3309	0.4518	0.2369	0.2797	6.3222	1.5785	4.9797	3	17	1.22230376101066	1	0
"18"	3	59	1	-1	-1	1	9	-1	1	2.699	-1.9173	-7.5726	2.9795	5.3619	1.536	-6.4309	-9.1319	-4.2944	2.1318	2.7413	2.8526	-2.719	6.1378	-2.3483	-2.3527	-11.5971	-2.2902	-0.4991	3.8095	5.5879	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.6736	4.3831	3	18	0.992881334035868	0	1
"19"	3	50	1	-4	-4	0	10	-1	1	2.993	-7.6904	0.5549	-4.9187	1.5881	-4.2634	-6.0956	-4.8268	-4.3055	-2.5224	-5.8325	-0.491	-0.2516	7.0603	-6.7374	0.7293	-2.5809	-12.6949	-12.4632	-0.7513	-12.6051	0.2835	0.3865	0.2839	0.2496	0.3912	0.2728	0.2141	0.3198	0.2545	0.3612	0.3967	0.4761	0.3453	0.4183	0.2089	0.3934	0.3242	0.3899	0.3556	6.3254	1.688	4.6934	3	19	1.09627622887056	0	1
"20"	3	45	1	-1	-1	1	12	-1	1	3.936	-4.331	-2.4915	-6.7637	-1.8501	-3.6795	2.7519	1.1182	2.864	-3.9974	2.4388	2.7759	-5.6572	-10.3064	4.1404	8.3839	-7.3391	7.346	-0.4685	-3.7103	0.5724	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.5744	5.5203	3	20	1.37016497919001	0	1
"21"	3	13	1	2	2	0	11	1	1	3.768	0.5884	9.0355	-4.2395	6.1031	0.9553	0.5818	8.5691	5.3328	0.901	-1.5222	1.5614	-2.3366	9.1568	0.2737	-9.2881	7.0138	0.9252	2.957	-3.3445	7.4285	0.5093	0.3067	0.2725	0.3632	0.3894	0.24	0.2816	0.4155	0.3755	0.443	0.2933	0.4878	0.2798	0.2038	0.3747	0.2154	0.2809	0.3483	0.2432	6.3241	1.5165	5.2849	3	21	1.32654435671412	1	0
