"subNo"	"index"	"block"	"level"	"mean"	"periodicity"	"nEvents"	"answer"	"isCorrect"	"rt"	"s1"	"s2"	"s3"	"s4"	"s5"	"s6"	"s7"	"s8"	"s9"	"s10"	"s11"	"s12"	"s13"	"s14"	"s15"	"s16"	"s17"	"s18"	"s19"	"s20"	"t1"	"t2"	"t3"	"t4"	"t5"	"t6"	"t7"	"t8"	"t9"	"t10"	"t11"	"t12"	"t13"	"t14"	"t15"	"t16"	"t17"	"t18"	"t19"	"seqDuration"	"startInterval"	"trialDuration"	"pID"	"Trial"	"rtLog"	"right"	"left"
"1"	4	36	1	-4	-4.84	0	6	-1	1	1.684	-3.6158	3.7721	-10.7167	-4.4961	-6.6443	-4.0065	0.1762	-13.9329	5.923	-10.2838	-4.1852	0.025	-7.1748	-9.8227	-2.4983	-6.4306	-11.253	-5.2779	-3.2914	-4.5903	0.33	0.2557	0.3508	0.2221	0.2822	0.53	0.2445	0.4767	0.3541	0.2854	0.2099	0.3901	0.2824	0.2124	0.3973	0.2905	0.4262	0.4818	0.3066	6.3288	1.527	3.218	4	1	0.521171915820135	0	1
"2"	4	54	1	1	1.21	0	5	1	1	1.707	5.7266	7.2266	9.8777	-6.6744	2.241	-0.8751	-3.4005	1.7608	-0.9226	1.8746	-4.6072	2.2173	4.6677	-3.4395	6.666	0.9556	8.6622	-3.4529	4.7846	-7.1341	0.3354	0.2957	0.347	0.5115	0.3908	0.2548	0.4463	0.5077	0.3891	0.2554	0.3592	0.2025	0.4123	0.3417	0.2721	0.3071	0.2484	0.2071	0.2347	6.3188	1.4652	3.1744	4	2	0.534737443812304	1	0
"3"	4	6	1	2	2.42	1	5	1	1	1.389	2.1655	4.2303	3.2697	1.236	8.0469	4.9415	-1.094	-3.5803	8.8322	2.8819	3.1052	-3.4031	6.8905	-1.5552	0.3194	-10.8211	3.52	10.7355	5.7923	2.5084	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.5561	2.9565	4	3	0.328584063772207	1	0
"4"	4	22	1	-4	-4.84	0	5	-1	1	1.448	-2.4831	-5.2118	-10.3646	-6.0806	-15.7186	0.9535	2.0725	0.9568	-3.7917	-1.4184	-9.5663	1.9554	-11.1887	-9.1437	-0.6749	-9.9732	-4.1184	-5.5121	-3.1956	-3.4271	0.3079	0.2393	0.2738	0.4852	0.4286	0.2625	0.2043	0.3045	0.2337	0.2927	0.3467	0.2188	0.3361	0.3714	0.4258	0.3513	0.4163	0.5199	0.311	6.3298	1.6245	3.0817	4	4	0.370183293963525	0	1
"5"	4	64	1	-4	-4.84	0	6	-1	1	1.578	-7.9007	-5.9279	-5.0138	-4.9824	-16.2993	-2.3326	4.1344	-4.8714	-2.4086	-10.1167	1.4574	1.4101	-9.5431	-7.671	-1.9122	-1.274	-12.7762	-3.7609	-6.3014	-1.6709	0.2717	0.2463	0.32	0.2067	0.4243	0.4718	0.3557	0.2089	0.272	0.5131	0.4004	0.2757	0.3583	0.4738	0.2103	0.3562	0.2638	0.2208	0.4783	6.328	1.6004	3.1783	4	5	0.456158222423683	0	1
"6"	4	52	1	-1	-1.21	0	7	1	0	2.367	-4.1836	2.1408	4.6132	-3.0315	-8.7678	1.7926	-7.4896	-6.2376	-1.3365	4.3426	-6.366	3.4075	1.3776	3.5626	-0.7786	-8.7626	3.061	-0.9825	-6.1656	6.8346	0.4308	0.3756	0.252	0.3641	0.2385	0.4405	0.5142	0.2692	0.4692	0.3164	0.2638	0.3276	0.2271	0.2868	0.3338	0.2495	0.3788	0.2816	0.3159	6.3353	1.6254	4.0013	4	6	0.861623330531847	1	0
"7"	4	43	1	-4	-4.84	1	5	-1	1	1.524	-8.4606	-3.4652	-11.1427	-12.1294	-11.9754	-11.3195	-3.1621	-1.4874	-2.4878	0.0872	-4.0024	-3.0703	-8.6183	-0.3528	-8.244	-3.8498	-8.8652	-4.6875	4.325	4.3947	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.574	3.1077	4	7	0.421338457264455	0	1
"8"	4	13	1	2	2.42	0	5	1	1	1.626	-0.6751	9.7559	-5.1915	3.7394	6.4179	-2.6535	10.0551	3.4851	1.5864	8.1188	-5.8919	-0.3627	-0.749	3.9579	-1.311	2.1783	-3.1827	8.4997	1.8759	8.3823	0.3735	0.2405	0.3483	0.4869	0.291	0.2172	0.4927	0.3852	0.2603	0.3028	0.3366	0.2932	0.2339	0.4195	0.2816	0.4207	0.383	0.2436	0.3169	6.3274	1.7139	3.3438	4	8	0.486123011125619	1	0
"9"	4	47	1	1	1.21	1	5	1	1	1.593	1.897	-3.2577	2.3185	3.1437	6.2522	-3.8853	-1.9987	2.9234	1.6649	-10.3696	0.0659	6.2003	4.8018	8.8698	0.8484	4.2003	-7.5231	9.0514	1.4969	-1.4798	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.5513	3.1435	4	9	0.465619030927911	1	0
"10"	4	1	1	-4	-4.84	1	5	-1	1	1.638	-8.7542	0.7596	0.1315	-13.6448	-0.2944	-9.9151	-8.8502	-2.5673	-2.1285	-11.7146	-3.5043	-6.7177	-7.1543	0.5515	1.4658	1.7302	-2.8492	-8.1691	-1.5221	-12.5006	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.6541	3.3058	4	10	0.493475985430878	0	1
"11"	4	61	1	1	1.21	1	5	1	1	1.393	3.7559	0.3057	4.203	-3.8351	-8.3332	-3.5833	-2.0005	3.764	12.8221	9.6315	7.2741	-1.2711	0.3075	2.0543	0.5775	-1.4613	-1.6657	3.6787	-0.618	-2.0929	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.4605	2.8766	4	11	0.331459694797669	1	0
