subNo index mean periodicity testLevel pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
6.0000 1.0000 0.0000 0.0000 -11.0000 2 1.0000 1.0000 2.2780 0.0000 10.0000 -2.0000 -10.0000 2.0000 -6.0000 6.0000 0.3135 0.7790 0.6230 0.3450 0.4410 2.5015 1.9417 4.6943 
6.0000 2.0000 -4.0000 0.0000 -11.0000 2 1.0000 1.0000 2.0510 0.0000 6.0000 -6.0000 -14.0000 -2.0000 -10.0000 2.0000 0.6266 0.3888 0.7924 0.3014 0.3979 2.5070 1.8671 4.6329 
6.0000 3.0000 4.0000 1.0000 -9.0000 2 1.0000 1.0000 2.7750 0.0000 -2.0000 6.0000 14.0000 2.0000 10.0000 -6.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9197 4.6760 
6.0000 4.0000 4.0000 0.0000 -9.0000 2 1.0000 1.0000 1.9260 0.0000 -6.0000 2.0000 14.0000 -2.0000 10.0000 6.0000 0.3215 0.4491 0.5367 0.4719 0.7144 2.4936 1.7857 4.5360 
6.0000 5.0000 4.0000 0.0000 7.0000 8 -1.0000 1.0000 3.1050 0.0000 2.0000 10.0000 14.0000 -6.0000 6.0000 -2.0000 0.3022 0.4075 0.4368 0.6518 0.7030 2.5014 1.9149 4.6606 
6.0000 6.0000 0.0000 0.0000 5.0000 8 -1.0000 1.0000 1.9960 0.0000 2.0000 -6.0000 -10.0000 10.0000 -2.0000 6.0000 0.3371 0.6242 0.5152 0.4035 0.6200 2.5000 1.7640 4.5092 
6.0000 7.0000 -4.0000 1.0000 3.0000 8 -1.0000 1.0000 2.7490 0.0000 6.0000 -6.0000 -14.0000 -2.0000 -10.0000 2.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9232 4.6760 
6.0000 8.0000 -2.0000 1.0000 -3.0000 2 1.0000 1.0000 1.4870 0.0000 8.0000 -4.0000 -12.0000 0.0000 -8.0000 4.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8748 4.6260 
6.0000 9.0000 -4.0000 0.0000 3.0000 8 -1.0000 1.0000 2.2580 0.0000 -14.0000 -6.0000 2.0000 -10.0000 6.0000 -2.0000 0.7591 0.4076 0.4764 0.3791 0.4850 2.5074 1.9343 4.7000 
6.0000 10.0000 -2.0000 0.0000 1.0000 2 1.0000 0.0000 2.7360 1.0000 8.0000 -4.0000 -8.0000 0.0000 -12.0000 4.0000 0.4386 0.6386 0.4600 0.3207 0.6342 2.4922 1.8933 4.6348 
6.0000 11.0000 4.0000 0.0000 1.9900 8 -1.0000 1.0000 1.8790 2.0000 6.0000 -2.0000 -6.0000 14.0000 2.0000 10.0000 0.5704 0.5379 0.3425 0.4898 0.5618 2.5023 1.9927 4.7450 
