subNo index block mean periodicity testLevel pressedKey answer isCorrect rt s1 s2 s3 s4 s5 s6 t1 t2 t3 t4 t5 seqDuration startInterval trialDuration 
5.0000 49.0000 1.0000 2.0000 1.0000 9.3450 2 -1.0000 1.0000 1.6080 -8.0000 4.0000 8.0000 0.0000 12.0000 -4.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9796 4.7259 
5.0000 30.0000 1.0000 0.0000 1.0000 -6.2300 8 1.0000 1.0000 1.3090 -10.0000 2.0000 10.0000 -2.0000 6.0000 -6.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9892 4.7259 
5.0000 15.0000 1.0000 -2.0000 1.0000 -9.3450 8 1.0000 1.0000 0.6910 -12.0000 -4.0000 4.0000 -8.0000 8.0000 0.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8446 4.5925 
5.0000 19.0000 1.0000 -2.0000 1.0000 3.1150 2 -1.0000 1.0000 1.5960 4.0000 -4.0000 -12.0000 0.0000 -8.0000 8.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.8573 4.6091 
5.0000 6.0000 1.0000 -4.0000 1.0000 6.2300 2 -1.0000 1.0000 1.0920 -6.0000 2.0000 6.0000 -14.0000 -2.0000 -10.0000 0.5000 0.5000 0.5000 0.5000 0.5000 2.5000 1.9367 4.6924 
5.0000 55.0000 1.0000 2.0000 0.0000 6.2300 8 1.0000 0.0000 2.1500 -4.0000 4.0000 8.0000 0.0000 12.0000 -8.0000 0.4587 0.5042 0.3446 0.4802 0.7113 2.4989 1.7857 4.5414 
5.0000 56.0000 1.0000 2.0000 0.0000 9.3450 8 1.0000 0.0000 1.5160 -8.0000 4.0000 8.0000 0.0000 12.0000 -4.0000 0.4640 0.5006 0.7923 0.4010 0.3500 2.5078 1.9240 4.6836 
5.0000 41.0000 1.0000 0.0000 0.0000 6.2300 8 1.0000 0.0000 2.5170 -2.0000 6.0000 10.0000 -10.0000 2.0000 -6.0000 0.3959 0.3674 0.5297 0.4914 0.7157 2.5000 1.8254 4.5759 
5.0000 39.0000 1.0000 0.0000 0.0000 0.0000 2 -1.0000 0.0000 1.1060 10.0000 2.0000 -10.0000 6.0000 -6.0000 -2.0000 0.3023 0.5624 0.7361 0.4108 0.4964 2.5080 1.9057 4.6673 
5.0000 28.0000 1.0000 -2.0000 0.0000 9.3450 2 -1.0000 1.0000 1.7440 -12.0000 0.0000 8.0000 -4.0000 4.0000 -8.0000 0.3346 0.6256 0.5569 0.4655 0.5221 2.5046 1.8537 4.5972 
5.0000 68.0000 1.0000 4.0000 0.0000 3.1150 8 1.0000 0.0000 1.6750 14.0000 2.0000 -2.0000 6.0000 -6.0000 10.0000 0.3666 0.7530 0.3622 0.6770 0.3336 2.4924 1.7692 4.5017 
5.0000 26.0000 1.0000 -2.0000 0.0000 3.1150 8 1.0000 0.0000 2.3950 -12.0000 0.0000 4.0000 -4.0000 8.0000 -8.0000 0.3841 0.5618 0.4050 0.5237 0.6319 2.5064 1.9919 4.7491 
5.0000 69.0000 1.0000 4.0000 0.0000 6.2300 8 1.0000 0.0000 2.6200 -6.0000 6.0000 14.0000 2.0000 10.0000 -2.0000 0.7746 0.3059 0.3513 0.4108 0.6557 2.4983 1.9427 4.6909 
5.0000 66.0000 1.0000 4.0000 0.0000 -3.1150 2 -1.0000 0.0000 1.9740 -2.0000 6.0000 10.0000 2.0000 14.0000 -6.0000 0.7447 0.5669 0.3581 0.3068 0.5241 2.5005 1.9697 4.7264 
