"subNo"	"index"	"block"	"level"	"mean"	"periodicity"	"nEvents"	"answer"	"isCorrect"	"rt"	"s1"	"s2"	"s3"	"s4"	"s5"	"s6"	"s7"	"s8"	"s9"	"s10"	"s11"	"s12"	"s13"	"s14"	"s15"	"s16"	"s17"	"s18"	"s19"	"s20"	"t1"	"t2"	"t3"	"t4"	"t5"	"t6"	"t7"	"t8"	"t9"	"t10"	"t11"	"t12"	"t13"	"t14"	"t15"	"t16"	"t17"	"t18"	"t19"	"seqDuration"	"startInterval"	"trialDuration"	"pID"	"Trial"	"rtLog"	"right"	"left"
"1"	15	36	1	-4	-4	0	5	-1	1	1.564	-6.338	0.7807	-4.2482	7.3347	-8.5052	-5.3118	-1.588	1.428	2.7746	-12.7493	-2.821	-8.4707	-0.3586	-4.9487	-10.0185	-9.2231	-1.7038	-3.249	-3.2912	-8.4797	0.3418	0.202	0.3681	0.3026	0.3635	0.2979	0.4884	0.3958	0.5274	0.2187	0.2535	0.2256	0.4701	0.3779	0.2355	0.4426	0.3246	0.2752	0.2092	6.3205	1.652	3.2319	15	1	0.447246642123119	0	1
"2"	15	38	1	-1	-1	0	11	-1	1	3.248	-0.7739	5.5955	-4.095	0.0622	-3.6357	-0.0691	-1.1107	-5.4504	-2.1289	3.6756	-10.9945	-12.0761	-3.0278	2.9976	0.0936	-5.9917	0.5405	4.817	5.8901	3.7458	0.2212	0.4183	0.2013	0.4281	0.2205	0.3976	0.3453	0.3717	0.2771	0.2154	0.3978	0.2476	0.5299	0.2764	0.217	0.4262	0.2301	0.4271	0.4751	6.3236	1.492	4.7486	15	2	1.17803942229943	0	1
"3"	15	59	1	-1	-1	1	6	-1	1	1.874	-4.6202	1.0266	-0.4377	-2.9678	0.4521	2.4147	10.4608	4.7696	-0.2208	-9.4395	1.3475	-3.4968	-4.6246	-12.8011	1.8397	4.6944	-3.7271	-3.5095	-1.0359	0.1815	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.6326	3.5076	15	3	0.628075183816231	0	1
"4"	15	40	1	1	1	0	3	1	1	1.008	3.0163	10.9946	3.1197	-5.2207	-0.5602	-2.0323	3.1789	-0.738	9.0772	-1.2212	4.029	-1.2383	3.908	-1.1651	-5.3189	7.5341	1.7564	5.8446	-8.5276	-4.4981	0.339	0.2626	0.4933	0.2444	0.2761	0.3208	0.2815	0.3606	0.2512	0.5224	0.2688	0.3271	0.4792	0.3965	0.2906	0.2385	0.4145	0.3167	0.237	6.321	1.4206	2.4416	15	4	0.00796816964917688	1	0
"5"	15	25	1	0	0	0	7	-1	1	1.867	-4.3651	3.4125	-1.5656	-4.7117	3.0829	-6.3389	7.0319	1.2683	1.3296	1.664	6.9362	3.103	-7.292	-10.3796	-1.0124	-3.3353	6.7956	-1.728	1.4005	5.7261	0.2088	0.3886	0.2709	0.3513	0.2612	0.3044	0.2273	0.3438	0.2028	0.2752	0.2461	0.2143	0.3118	0.4332	0.4655	0.5129	0.3768	0.4468	0.4778	6.3195	1.6061	3.4844	15	5	0.624332864559586	0	1
"6"	15	50	1	-4	-4	0	6	-1	1	1.557	0.315	-5.9918	-14.6503	-6.1809	-15.123	-3.9815	-2.9669	2.4335	-2.8918	-2.868	-9.6751	-1.716	-3.0882	1.0162	-9.7239	-3.8137	-2.2581	1.9089	-4.1044	2.7217	0.3706	0.2251	0.2845	0.4235	0.2462	0.306	0.4601	0.2119	0.2483	0.373	0.4999	0.4355	0.2463	0.3862	0.4578	0.296	0.3767	0.2127	0.2693	6.3298	1.6601	3.2247	15	6	0.442760892851861	0	1
"7"	15	39	1	0	0	0	8	1	1	2.616	2.3106	-3.4906	6.8112	4.5333	-9.1272	1.9374	-2.5577	-4.27	-5.8272	-0.1755	7.0892	-2.9625	-1.5952	1.1636	-0.9964	12.5785	1.57	-0.6185	-1.4451	-4.1642	0.4478	0.3425	0.2688	0.3692	0.2081	0.3625	0.2241	0.4866	0.2507	0.3838	0.3192	0.3712	0.3421	0.4038	0.4354	0.2939	0.2133	0.2619	0.3495	6.3344	1.6997	4.3172	15	7	0.961646433594952	1	0
"8"	15	15	1	-4	-4	1	5	-1	1	1.483	-4.6805	-7.4921	-3.9249	-7.7684	-0.3769	1.1562	-7.3906	-8.263	-1.3952	2.7029	-9.8345	4.7883	-1.6853	-7.3866	3.8584	-13.6295	-6.9683	-0.845	-1.1279	-8.6014	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.6487	3.1337	15	8	0.394067063155795	0	1
"9"	15	61	1	1	1	1	8	-1	0	2.577	0.6868	-0.6414	-7.4244	-4.9914	2.5106	4.2202	5.1045	5.1424	3.9351	-4.2175	-4.5496	4.2976	-6.1585	3.2596	-2.9385	-1.3164	7.3266	2.8862	12.5228	0.0706	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.5381	4.1107	15	9	0.946625931670228	0	1
"10"	15	3	1	-1	-1	1	13	-1	1	4.085	1.0985	-3.3413	10.3585	-4.6291	-0.4383	-7.2085	-7.3867	0.7598	-1.3619	2.4964	-1.9877	0.9309	0.2224	3.3499	-3.9153	0.6557	-10.1305	4.904	-8.0979	2.2756	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.4613	5.5523	15	10	1.40732172831197	0	1
"11"	15	51	1	-2	-2	0	8	-1	1	2.309	-4.975	5.6861	2.8013	1.198	-1.7894	-8.6278	-4.3918	-1.1935	0.7148	-8.7416	-2.1233	5.173	-1.0582	-6.3942	1.9526	-3.8336	-4.1548	-10.5246	6.0284	-7.7139	0.2839	0.4903	0.2127	0.2413	0.2009	0.5037	0.2823	0.4993	0.2221	0.4115	0.2105	0.3878	0.2088	0.4886	0.2312	0.4209	0.4789	0.2508	0.296	6.3215	1.7289	4.0598	15	11	0.836814530372358	0	1
"12"	15	28	1	4	4	0	8	1	1	2.392	3.3719	7.7786	13.0413	0.4422	0.2196	1.9285	5.8929	-0.4089	8.0592	-4.6311	3.5965	-0.7777	-2.3998	2.4796	-0.3481	9.8288	1.3931	12.0625	7.9932	8.7699	0.2654	0.2071	0.2752	0.526	0.2561	0.3476	0.2147	0.4972	0.361	0.2106	0.2557	0.33	0.3039	0.383	0.3366	0.4889	0.3317	0.4595	0.2671	6.3175	1.5556	3.959	15	12	0.872129836088385	1	0
"13"	15	48	1	2	2	1	10	1	1	3.192	-1.6909	10.8315	1.2028	2.1776	2.8469	0.3431	2.8237	9.8879	5.7191	9.7817	2.3732	-2.3068	-0.5922	-3.5988	-0.7101	-3.7426	-0.7618	-6.0199	11.2781	2.0769	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.4117	4.609	15	13	1.16064767958756	1	0
