"subNo"	"index"	"block"	"level"	"mean"	"periodicity"	"nEvents"	"answer"	"isCorrect"	"rt"	"s1"	"s2"	"s3"	"s4"	"s5"	"s6"	"s7"	"s8"	"s9"	"s10"	"s11"	"s12"	"s13"	"s14"	"s15"	"s16"	"s17"	"s18"	"s19"	"s20"	"t1"	"t2"	"t3"	"t4"	"t5"	"t6"	"t7"	"t8"	"t9"	"t10"	"t11"	"t12"	"t13"	"t14"	"t15"	"t16"	"t17"	"t18"	"t19"	"seqDuration"	"startInterval"	"trialDuration"	"pID"	"Trial"	"rtLog"	"right"	"left"
"1"	16	9	1	-2	-4.04	0	8	-1	1	2.518	-2.487	-3.7175	-1.3339	-4.7512	-11.8778	-0.1115	-1.7313	2.5505	-2.1954	-2.7176	-7.7599	-10.9146	-15.2256	-0.6526	-12.7173	-2.1999	0.7052	2.6102	-4.0169	-4.1665	0.2135	0.3783	0.3336	0.4904	0.2305	0.4552	0.2848	0.417	0.2338	0.3488	0.2921	0.5218	0.2153	0.2488	0.4133	0.3686	0.2777	0.3637	0.2382	6.3252	1.4636	3.9854	16	1	0.923464935622155	0	1
"2"	16	30	1	-2	-4.04	1	11	-1	1	3.575	-2.2999	-0.8306	-3.2634	-6.4712	0.1826	1.6587	-7.1588	-0.5019	-7.6389	-9.2313	-10.1554	-4.5886	-5.8314	-5.7425	-5.049	10.5729	-11.7	-5.001	-0.922	-8.3231	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.7028	5.2927	16	2	1.27396517614597	0	1
"3"	16	6	1	2	4.04	1	9	1	1	2.696	7.4308	5.7545	-2.5138	-4.1914	-3.5735	6.6885	5.9965	-3.6339	5.3751	6.4091	11.3958	1.3088	6.4591	-3.8376	6.9101	5.3667	3.1253	12.8573	4.0277	7.9212	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.583	4.2972	16	3	0.991769193050061	1	0
"4"	16	54	1	1	2.02	0	11	1	1	3.598	-0.1292	1.4857	7.3828	-5.0106	-6.3998	-4.9381	0.4899	-1.468	9.46	7.9806	12.8831	-1.352	6.5384	2.5064	2.2531	2.8521	1.6415	-1.6671	3.8287	3.8252	0.3637	0.2531	0.5254	0.245	0.2025	0.5132	0.3059	0.3722	0.2264	0.344	0.2565	0.3385	0.2211	0.4507	0.3924	0.2793	0.3906	0.2927	0.353	6.3263	1.4421	5.0487	16	4	1.28037813552834	1	0
"5"	16	55	1	2	4.04	0	9	1	1	2.967	6.2125	6.4041	-4.0165	4.8816	7.8204	-6.0169	8.7511	-4.6293	4.7842	3.2797	2.9206	7.3244	13.3773	3.3302	6.8553	8.7425	0.3084	-1.6813	7.7762	3.8658	0.4284	0.2232	0.2513	0.3954	0.2569	0.4775	0.2605	0.2047	0.4699	0.3831	0.2023	0.4453	0.2426	0.416	0.28	0.4238	0.5153	0.2057	0.2439	6.3257	1.6216	4.601	16	5	1.08755134130868	1	0
"6"	16	5	1	1	2.02	1	8	1	1	2.363	7.0054	5.9971	-0.5135	5.4583	2.8201	-2.747	2.9044	8.6654	7.7437	7.9108	1.7	1.1209	-3.7692	2.7438	5.8625	3.4483	-6.2874	-1.7519	-9.1387	0.425	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.5533	3.9308	16	6	0.859931998204771	1	0
"7"	16	19	1	1	2.02	1	11	1	1	3.462	6.4811	-7.2576	-0.1243	7.0797	-2.3605	-7.3785	0.1324	14.5649	-0.7467	6.0833	7.0515	2.2673	2.3232	2.5331	3.1612	3.8289	-0.3581	-1.0204	3.1035	0.5564	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.4552	4.9297	16	7	1.24184645675402	1	0
"8"	16	48	1	2	4.04	1	8	1	1	2.537	7.1671	8.0735	0.617	1.6144	10.4038	2.3757	13.0493	5.0798	-0.1143	7.624	7.9796	0.1849	6.401	7.3426	-3.2677	5.3171	5.9843	-3.7416	-6.8452	6.4978	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.6031	4.1542	16	8	0.930982280617145	1	0
"9"	16	43	1	-4	-8.08	1	9	-1	1	2.949	-12.3371	-4.5768	-0.6551	-17.3448	-8.1794	-5.9851	-6.4474	-6.7609	-7.308	-10.3507	-5.1968	-9.3479	-15.9248	-6.1364	-3.7699	-11.6399	-14.936	-10.8601	-8.2214	2.495	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.5075	4.4664	16	9	1.08146612983314	0	1
"10"	16	65	1	-2	-4.04	0	6	-1	1	1.843	-5.1989	-13.6362	-5.5462	1.3771	-1.7843	-10.2457	0.0678	-3.6912	3.5559	-0.2592	-3.5996	-8.6736	-4.8703	-0.8568	-7.6585	-2.9273	-10.4303	-2.5032	5.8457	-9.566	0.2608	0.2121	0.3972	0.3154	0.2027	0.52	0.4613	0.3218	0.5	0.2745	0.4731	0.2066	0.336	0.2077	0.2402	0.2882	0.4507	0.2905	0.3784	6.337	1.5481	3.3938	16	10	0.611394678687686	0	1
"11"	16	11	1	0	0	0	9	-1	1	2.811	-2.6235	0.537	-4.9255	-0.3159	-6.9198	4.7041	3.0782	-4.362	3.4152	-6.6627	2.9314	6.9112	-2.4172	-4.8318	-3.3609	-6.8167	9.945	2.3096	7.3323	1.5451	0.2851	0.2487	0.3257	0.4823	0.3563	0.2912	0.422	0.2028	0.4064	0.2071	0.3012	0.463	0.3093	0.2143	0.522	0.2443	0.3563	0.4925	0.2018	6.3323	1.7199	4.5288	16	11	1.03354029192439	0	1
"12"	16	47	1	1	2.02	1	9	1	1	2.764	5.2405	-7.4565	-5.6132	10.6464	4.3739	1.6707	3.2272	2.7352	0.8145	1.0209	8.785	-2.902	-3.1585	3.6604	7.6673	3.9353	-6.0917	2.4795	7.3772	0.9985	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.7166	4.4811	16	12	1.01667890590542	1	0
"13"	16	67	1	0	0	0	8	-1	0	2.698	0.4529	-5.0008	3.0989	0.0255	1.3586	-5.9434	-5.5218	-5.6786	7.954	0.0723	8.4997	2.7229	7.9115	-1.9281	-8.7335	4.71	-3.2305	0.0596	1.264	-2.5855	0.2442	0.465	0.3342	0.2593	0.3684	0.2272	0.4775	0.3935	0.4218	0.2026	0.2578	0.3604	0.4086	0.2592	0.449	0.3921	0.2848	0.3148	0.2125	6.3329	1.5398	4.2491	16	13	0.992510757785564	0	1
"14"	16	1	1	-4	-8.08	1	9	-1	1	2.733	-8.4517	0.7102	-6.8456	-14.8042	-10.7399	-6.7568	-5.6616	-2.0712	-8.4867	-13.3403	-4.4994	-2.3186	-9.521	-12.4685	-4.5542	-13.0237	-13.1296	-3.7903	-4.1876	-18.5818	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.6026	4.3504	16	14	1.00539990694593	0	1
