"subNo"	"index"	"block"	"level"	"mean"	"periodicity"	"nEvents"	"answer"	"isCorrect"	"rt"	"s1"	"s2"	"s3"	"s4"	"s5"	"s6"	"s7"	"s8"	"s9"	"s10"	"s11"	"s12"	"s13"	"s14"	"s15"	"s16"	"s17"	"s18"	"s19"	"s20"	"t1"	"t2"	"t3"	"t4"	"t5"	"t6"	"t7"	"t8"	"t9"	"t10"	"t11"	"t12"	"t13"	"t14"	"t15"	"t16"	"t17"	"t18"	"t19"	"seqDuration"	"startInterval"	"trialDuration"	"pID"	"Trial"	"rtLog"	"right"	"left"
"1"	7	19	1	1	2.86	1	4	1	1	1.176	5.2444	8.2643	-0.6439	-0.2446	1.6005	7.8883	1.8178	-6.9072	6.9906	2.3617	4.3648	4.265	-0.0533	16.517	-1.2727	0.4243	-1.4165	8.1367	-2.0451	3.2043	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.5366	2.7264	7	1	0.162118849476435	1	0
"2"	7	5	1	1	2.86	1	5	1	1	1.484	6.3007	4.3849	2.4177	8.4629	6.2914	0.3486	-9.0452	-5.4302	-0.4548	0.0643	-2.5102	-2.7794	10.739	7.7233	2.1394	6.2804	5.1725	2.8293	4.7874	8.4313	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.4063	2.901	7	2	0.394741144745189	1	0
"3"	7	36	1	-4	-11.44	0	2	-1	1	0.687	-7.9008	-18.0136	-5.1216	-21.4092	-12.4782	-17.8185	-16.0498	-6.2542	-5.8523	-12.365	-16.8291	-7.0899	-8.0336	-11.1695	-13.5324	-11.8013	-4.3559	-12.822	-5.0878	-15.1567	0.3508	0.4295	0.2821	0.2367	0.2105	0.5048	0.3511	0.2681	0.2235	0.4659	0.4336	0.2235	0.2509	0.4214	0.3529	0.2775	0.2187	0.3635	0.4538	6.3189	1.5971	2.288	7	3	-0.375420986759788	0	1
"4"	7	11	1	0	0	0	5	1	0	1.351	1.5132	-1.5638	9.4225	2.2832	-9.901	6.9473	-1.5673	0.106	4.6319	-3.136	-1.7067	-1.8056	2.4974	4.2419	7.1202	-3.5077	-0.9714	-4.3886	-8.5998	-1.1122	0.2477	0.3629	0.2122	0.3653	0.2148	0.3967	0.3715	0.4708	0.4087	0.2075	0.2742	0.3812	0.2427	0.5202	0.2599	0.4636	0.2454	0.407	0.2746	6.3268	1.4138	2.7685	7	4	0.300845058978062	1	0
"5"	7	54	1	1	2.86	0	9	1	1	2.51	1.9962	-5.2719	3.3168	1.7209	-0.0874	-3.7104	6.4035	-0.1814	7.0036	8.9787	6.6501	5.9287	7.047	-6.9324	-5.1673	4.6364	8.4151	9.2625	2.3527	6.4222	0.2052	0.2631	0.4867	0.3026	0.2192	0.3435	0.3029	0.2501	0.3495	0.4577	0.3697	0.3138	0.3753	0.2304	0.4537	0.323	0.3995	0.3707	0.301	6.3175	1.6525	4.178	7	5	0.920282753143692	1	0
"6"	7	56	1	4	11.44	0	4	1	1	0.823	8.1779	15.6917	4.5243	8.9003	5.2001	10.6995	17.0321	8.2792	6.078	8.48	7.6339	16.8635	10.3067	14.7389	16.2399	15.5709	17.7222	7.3051	22.1028	8.1108	0.2233	0.3047	0.2318	0.4849	0.3427	0.2006	0.3663	0.4342	0.2638	0.2125	0.3141	0.2669	0.5171	0.3828	0.3064	0.3773	0.3139	0.4204	0.3638	6.3275	1.4742	2.3075	7	6	-0.194799078305067	1	0
"7"	7	60	1	0	0	1	5	-1	1	1.555	1.7298	-1.1946	0.3269	-3.2361	7.8133	13.1586	-1.1002	-3.2147	-3.4916	0.3103	-4.0443	4.4435	0.968	7.0835	-1.947	-3.2254	-6.7569	-4.9221	1.2305	-5.7705	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.4338	2.9888	7	7	0.441475545631197	0	1
"8"	7	66	1	-1	-2.86	0	3	-1	1	0.676	-4.9861	-9.0379	-7.5229	1.4997	-6.9516	-5.0739	-1.2799	2.594	-6.354	-4.8711	-5.4127	3.1104	-1.6479	1.8574	-3.8344	-10.528	-7.3531	-2.3305	9.4222	2.2397	0.2001	0.2326	0.2937	0.268	0.4291	0.3026	0.2387	0.5258	0.4592	0.3291	0.255	0.4393	0.3745	0.2501	0.4372	0.3088	0.351	0.2953	0.3371	6.327	1.5026	2.1764	7	8	-0.391562202939173	0	1
"9"	7	22	1	-4	-11.44	0	2	-1	1	0.627	-16.0813	-3.5317	-1.0698	-18.5602	-12.159	-8.4369	-14.6733	-19.1551	-13.6931	-6.1732	-6.4584	-13.8384	-11.2356	-7.0232	-20.0974	-9.2873	-11.0669	-14.2639	-11.7833	-11.8279	0.4867	0.3853	0.4697	0.2103	0.4924	0.2112	0.295	0.3982	0.5167	0.2737	0.3199	0.2494	0.3158	0.2268	0.4035	0.2093	0.2489	0.3853	0.2312	6.3292	1.5924	2.2276	7	9	-0.466808738349216	0	1
"10"	7	17	1	-1	-2.86	1	5	1	0	1.565	0.4305	-0.3281	5.3481	-9.1512	-2.1452	1.6892	-10.0901	-7.0486	-8.9058	-3.5801	-2.9785	6.9411	-0.2026	-7.5922	-7.3709	2.9679	2.3792	-6.092	-4.3079	-6.3289	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.5485	3.1156	7	10	0.447885823992117	1	0
"11"	7	64	1	-4	-11.44	0	2	-1	1	0.622	-10.2538	-14.8447	-8.2305	-9.7641	-14.8515	-10.9668	-10.2522	-8.0703	-11.9791	-8.5671	-22.0881	-5.68	-18.0301	-10.1752	-10.5709	-12.2005	-1.3981	-21.3221	-7.0963	-13.8237	0.2748	0.3661	0.3001	0.2326	0.2675	0.5005	0.2537	0.5219	0.3378	0.2044	0.2358	0.2761	0.35	0.262	0.4948	0.2791	0.437	0.2256	0.4979	6.3177	1.7011	2.3231	7	11	-0.474815186242958	0	1
